key,bin,v_ego,model,read,y_none,x_none,d_left,d_right,set
266810-0006579,5-10,7.763394240493538,cinque,5,-0.0681201171875,7.7028125,0.3756103515625,-0.126435546875,carla_p6
266810-0006579,5-10,7.763394240493538,lebowski,0,-0.200615234375,14.2228125,1.037373046875,-0.926259765625,carla_p6
266810-0006579,5-10,7.763394240493538,lebowski,1,-0.004355087280273001,9.9696875,0.7819918060302731,-0.258613662719726,carla_p6
266810-0006579,5-10,7.763394240493538,lebowski,5,0.058139648437500004,9.9246875,0.9504931640625001,-0.3177197265625,carla_p6
2475712-0002922,5-10,7.550583350605282,cinque,0,-9.28125,23.3875,0.31312499999999904,-0.293124999999999,carla_p6
2475712-0002922,5-10,7.550583350605282,cinque,1,-7.225,28.08,0.6218749999999991,-1.236874999999999,carla_p6
2475712-0002922,5-10,7.550583350605282,cinque,5,-7.5975,16.105625,1.9431250000000002,-0.5540625,carla_p6
2475712-0002922,5-10,7.550583350605282,lebowski,0,-5.0515625,24.51375,1.66515625,-1.214062499999999,carla_p6
2475712-0002922,5-10,7.550583350605282,lebowski,1,-8.865625,18.740625,1.1065625,-0.47375000000000006,carla_p6
2475712-0002922,5-10,7.550583350605282,lebowski,5,-10.0125,20.7125,0.603749999999999,-0.36843750000000003,carla_p6
253911-0005739,5-10,6.534662123627784,cinque,0,-0.2108349609375,19.405,0.3792578125,-1.2469775390625,carla_p6
253911-0005739,5-10,6.534662123627784,cinque,1,-0.1897265625,22.526875,0.29544677734375,-1.59953125,carla_p6
253911-0005739,5-10,6.534662123627784,cinque,5,-2.394765625,28.3575,0.13468749999999902,-0.5118750000000001,carla_p6
253911-0005739,5-10,6.534662123627784,lebowski,0,-0.01032958984375,14.7565625,0.68685302734375,-0.33392822265625,carla_p6
253911-0005739,5-10,6.534662123627784,lebowski,1,-0.021050415039062003,19.313125,0.979292602539062,-0.6896527099609371,carla_p6
253911-0005739,5-10,6.534662123627784,lebowski,5,-1.5935937500000001,31.55625,0.17550781249999903,-0.75953125,carla_p6
2481612-0000258,5-10,5.069917660977679,cinque,0,-2.5371875,13.317499999999999,-0.26625000000000004,-0.314453125,carla_p6
2481612-0000258,5-10,5.069917660977679,cinque,1,-5.94921875,17.245,-0.3140625,-0.40156249999999905,carla_p6
2481612-0000258,5-10,5.069917660977679,cinque,5,-1.5662890625,29.63125,0.28621093750000004,-0.681992187499999,carla_p6
2481612-0000258,5-10,5.069917660977679,lebowski,0,-3.530078125,10.1240625,2.85115234375,0.7102343750000001,carla_p6
2481612-0000258,5-10,5.069917660977679,lebowski,1,-5.00890625,12.5790625,2.350859374999999,-0.0253125,carla_p6
2481612-0000258,5-10,5.069917660977679,lebowski,5,-1.1191015625,30.42125,0.6390820312500001,-0.476367187499999,carla_p6
266812-0007808,5-10,8.637289105221935,cinque,0,-0.467783203125,17.98625,0.996025390625,-0.692216796874999,carla_p6
266812-0007808,5-10,8.637289105221935,cinque,1,-0.3697265625,16.574375,0.9624218750000001,-0.42759765624999996,carla_p6
