frame,timestamp,raw_speed_mps,desired,native_throttle,native_brake,old_reason,new_reason,old_native_throttle,old_native_brake,new_native_throttle,new_native_brake,old_pi_throttle,old_pi_brake,new_pi_throttle,new_pi_brake
3232,5.850000087171793,5.583157281250557,5.651166121164958,0.4654784242312131,0.0,tracking,tracking,0.4654784242312131,0.0,0.4654784242312131,0.0,0.03935649710553766,0.0,0.03935649710553766,0.0
3233,5.900000087916851,5.28467490715963,4.0681322018305455,0.0,1.0,tracking,tracking,0.0,1.0,0.0,1.0,0.0,0.6181260595594174,0.0,0.6181260595594174
3234,5.950000088661909,4.471286320671127,3.19021467367808,0.0,1.0,tracking,tracking,0.0,1.0,0.0,1.0,0.0,0.6664039262174299,0.0,0.6664039262174299
3235,6.000000089406967,3.128539148694876,5.073793888092041,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0
3236,6.050000090152025,1.8105845139196473,4.532247384389242,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0
3237,6.100000090897083,1.7235969681344496,5.222079912821452,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0
3238,6.150000091642141,1.9629861993088908,6.016478220621744,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0
3239,6.200000092387199,2.1484299635396096,5.438800652821858,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0
3240,6.2500000931322575,2.337617462511277,4.219189802805583,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0
3241,6.3000000938773155,2.540844922432771,3.5284230709075928,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.48026569855639056,0.0,0.48026569855639056,0.0
3242,6.350000094622374,2.745946397256252,4.735496203104654,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0
3243,6.400000095367432,2.9646724366565778,5.031584024429321,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0
3244,6.45000009611249,3.182543585883837,4.767031908035278,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0
3245,6.500000096857548,3.4131456247042595,4.486034671465556,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.5363322609839853,0.0,0.5363322609839853,0.0
3246,6.550000097602606,3.647296271613482,3.7694947719573975,0.5605690856774648,0.0,tracking,tracking,0.5605690856774648,0.0,0.5605690856774648,0.0,0.06251446905235501,0.0,0.06251446905235501,0.0
3247,6.600000098347664,3.8549476120185657,2.9595168431599936,0.0,1.0,tracking,tracking,0.0,1.0,0.0,1.0,0.0,0.45749305032640797,0.0,0.45749305032640797
3248,6.650000099092722,3.9486752708964503,3.229525089263916,0.0,1.0,tracking,tracking,0.0,1.0,0.0,1.0,0.0,0.3783421341177479,0.0,0.3783421341177479
3249,6.70000009983778,3.880580088757222,3.4769203265508017,0.0,1.0,tracking,tracking,0.0,1.0,0.0,1.0,0.0,0.22564267150745873,0.0,0.22564267150745873
3250,6.750000100582838,3.6929248239696193,1.84788316488266,0.0,1.0,tracking,tracking,0.0,1.0,0.0,1.0,0.0,0.969396641029981,0.0,0.969396641029981
3251,6.800000101327896,3.4509079540809813,3.371666153271993,0.061752595504124964,0.0,tracking,tracking,0.061752595504124964,0.0,0.061752595504124964,0.0,0.0,0.08748723441586766,0.0,0.08748723441586766
3252,6.850000102072954,3.2205581872659694,3.408967932065328,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.04869366023339178,0.0,0.04869366023339178,0.0
3253,6.900000102818012,3.0775739870913674,3.1648595333099365,0.3942521328727403,0.0,tracking,tracking,0.3942521328727403,0.0,0.3942521328727403,0.0,0.0,0.0007773697130126975,0.0,0.0007773697130126975
3254,6.95000010356307,2.9904939702320616,4.213940064112346,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.5825959805192329,0.0,0.5825959805192329,0.0
3255,7.000000104308128,2.9511523121001675,3.362119754155477,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.1814937477089857,0.0,0.1814937477089857,0.0
3256,7.050000105053186,2.9657778475413816,2.7147418260574345,0.0,0.0,tracking,tracking,0.0,0.0,0.0,0.0,0.0,0.1526459343759511,0.0,0.1526459343759511
3257,7.1000001057982445,3.0265580473297247,2.7561009327570596,0.052698786556720736,0.0,tracking,tracking,0.052698786556720736,0.0,0.052698786556720736,0.0,0.0,0.16573719490284494,0.0,0.16573719490284494
3258,7.1500001065433025,3.031791561184094,2.87697970867157,0.052698786556720736,0.0,tracking,tracking,0.052698786556720736,0.0,0.052698786556720736,0.0,0.0,0.109849712058017,0.0,0.109849712058017
3259,7.200000107288361,2.9922221727498255,3.0686798294385276,0.5124010610083748,0.0,tracking,tracking,0.5124010610083748,0.0,0.5124010610083748,0.0,0.006740763265446259,0.0,0.006740763265446259,0.0
3260,7.250000108033419,2.920767046759934,2.342331608136495,0.0,1.0,tracking,tracking,0.0,1.0,0.0,1.0,0.0,0.32793622748115914,0.0,0.32793622748115914
3261,7.300000108778477,2.834991367740582,2.6401090224583945,0.05365450854102771,0.0,tracking,tracking,0.05365450854102771,0.0,0.05365450854102771,0.0,0.0,0.1385957101628605,0.0,0.1385957101628605
3262,7.350000109523535,2.730200435139783,2.1391319831212363,0.0,1.0,tracking,tracking,0.0,1.0,0.0,1.0,0.0,0.3440771192913669,0.0,0.3440771192913669
3263,7.400000110268593,2.6138893167762873,2.191630591948827,0.0,1.0,tracking,tracking,0.0,1.0,0.0,1.0,0.0,0.264950489834819,0.0,0.264950489834819
3264,7.450000111013651,2.4388676882776785,2.3599533289670944,0.05365450854102771,0.0,tracking,tracking,0.05365450854102771,0.0,0.05365450854102771,0.0,0.0,0.09426473658246204,0.0,0.09426473658246204
3265,7.500000111758709,2.2909898213884707,2.519026050964991,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.06206101077327175,0.0,0.06206101077327175,0.0
3266,7.550000112503767,2.1771750810669515,2.36213681101799,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.04283578261937069,0.0,0.04283578261937069,0.0
3267,7.600000113248825,2.1108073828357488,2.357185651858648,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.07662378056397866,0.0,0.07662378056397866,0.0
3268,7.650000113993883,2.083790637204436,2.2682291865348816,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.0479594026187369,0.0,0.0479594026187369,0.0
3269,7.700000114738941,2.116444267939369,1.9520628849665325,0.0,0.0,tracking,tracking,0.0,0.0,0.0,0.0,0.0,0.12850533085068302,0.0,0.12850533085068302
