level,route,seed,arm,context,lag_s,first_error_mps_n,first_error_mps_mean,first_error_mps_median,first_error_mps_p10,first_error_mps_p90,mean8_error_mps_n,mean8_error_mps_mean,mean8_error_mps_median,mean8_error_mps_p10,mean8_error_mps_p90,target_error_mps_n,target_error_mps_mean,target_error_mps_median,target_error_mps_p10,target_error_mps_p90
1,2091,1,C,turn,nan,58,0.8463525462899996,0.921220094951174,0.21477333548905275,1.4389217164414254,58,2.815351302979624,2.773176941048338,0.6513174191178535,5.315059738660635,58,5.555963842635646,7.124520364993829,0.31020257234778537,8.884018675118124
1,2091,1,C,cruise,nan,227,0.3424223902077861,0.18624895062600366,-0.03212309863727824,0.9447577452274476,227,0.5948493734670237,0.306645260133771,-1.8342199650777515,2.8562038370395224,227,0.5419117909812338,0.37326751536250047,0.04130340645939548,1.4071910215218442
1,3514,0,C,all,0.4,514,0.4840224587701055,0.041611518714268936,-0.049251705712209576,2.3448785288866674,514,0.41489902674585494,-0.08137356633261827,-0.19831536586153442,1.5250240298207631,514,0.2758783263309563,-0.00040390037680139543,-0.06700120590783935,1.3391595484495213
1,3514,0,C,launch,nan,13,2.423016515388508,2.4186955727812176,2.2863953802639987,2.5306251380917444,13,3.5428989459323192,3.4048537100012375,3.307067550832775,3.8393253571370707,13,5.634027036195667,6.400504697124567,2.6057171331869977,6.593281962771587
1,3514,0,C,target_stop,nan,89,1.4056662208835566,2.064676101871537,-0.21740900628631274,2.5107196264457503,89,0.7617277725950341,0.6001044258821029,-0.48954534844223013,1.9936134053584567,89,-0.9337061966872428,-0.02769188604926944,-6.905867158686777,-0.00011443367787348978
1,3514,0,C,decelerate,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan
1,3514,0,C,turn,nan,20,2.018614522639935,2.0250202935494532,1.4771976151535444,2.4604861110770075,20,3.748784141659224,3.8218797828522364,3.2511603169436296,4.088632863109312,20,4.934415892133095,5.04873801570481,3.771370456733026,5.940467547134386
1,3514,0,C,cruise,nan,392,0.1321728188682356,0.021595663362504514,-0.04785439221452385,0.6426668344825409,392,0.06232387463292547,-0.10495072320419796,-0.19804461474633772,0.913049992875693,392,0.1351291885869147,0.002869829723235018,-0.047731351725067483,0.6398306868903274
1,3255,1,C,all,0.2,633,0.18076935484055653,0.0947986147644233,-0.5049686111481374,1.0525107728873695,633,0.20396807736616446,-0.1213357789616536,-2.6894612492314938,4.051684431316927,633,-0.06104033190645511,0.010287446553110868,-2.962675169710477,1.434464226395708
1,3255,1,C,launch,nan,33,0.7211700827434776,0.7393506696274151,0.5997757916463722,0.7875444461044827,33,4.18842158641853,4.246813417840789,3.8465990238834604,4.470762486912608,33,1.5305973414409015,1.140569837205427,1.1024496875255563,1.4312374544489213
1,3255,1,C,target_stop,nan,208,-0.3212320578134454,-0.1549128328656973,-1.0229747679429733,0.15263908408905275,208,-0.9423556908539669,-0.5056806724807328,-3.1233282626402783,0.5877163940468882,208,-2.1460331502995356,-0.9485788318842848,-6.73042038011723,-0.0009476342603782279
1,3255,1,C,decelerate,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan
1,3255,1,C,turn,nan,41,0.9573303809601138,0.9591873635297921,0.6893150365952856,1.2782900353877897,41,2.453260478115298,2.354731477369172,0.5093552613943686,4.289780932897937,41,3.0533967780873397,2.790975021356532,0.8787549471807177,5.5507514629362245
