arm,seed,route,attempts,finished,status,DS,RC,success,collisions,scenario,family,group
cl1,0,3514,3,True,Completed,100.0,100.0,True,0.0,ParkingExit,merge_lane_change,yield
cl1,0,3520,1,True,Completed,100.0,100.0,True,0.0,ParkingExit,merge_lane_change,yield
cl1,0,3540,1,True,Completed,100.0,100.0,True,0.0,HardBreakRoute,lead_hard_brake,sudden
cl1,0,3561,1,True,Completed,100.0,100.0,True,0.0,ControlLoss,routine_control,other
cl1,0,3564,1,True,Failed - TickRuntime,28.254,47.09,False,1.0,InvadingTurn,obstacle_bypass,obstacle
cl1,0,3572,1,True,Completed,100.0,100.0,True,0.0,InvadingTurn,obstacle_bypass,obstacle
cl1,0,3575,5,True,Completed,100.0,100.0,True,0.0,InvadingTurn,obstacle_bypass,obstacle
cl1,0,3666,1,True,Completed,48.0,100.0,False,1.0,NonSignalizedJunctionRightTurn,unprotected_turn,yield
cl1,0,3670,1,True,Completed,48.0,100.0,False,1.0,NonSignalizedJunctionRightTurn,unprotected_turn,yield
cl1,0,3676,1,True,Completed,48.0,100.0,False,1.0,NonSignalizedJunctionRightTurn,unprotected_turn,yield
cl1,0,3697,1,True,Completed,80.0,100.0,False,0.0,OppositeVehicleTakingPriority,junction_violator,sudden
cl1,0,3708,1,True,Completed,100.0,100.0,True,0.0,VehicleTurningRoute,vru_crossing,sudden
cl1,0,3712,1,True,Completed,100.0,100.0,True,0.0,VehicleTurningRoute,vru_crossing,sudden
