level,route,seed,contrast,ds_arm,ds_B,ds_diff,rc_arm,rc_B,points_rc,points_collisions_pedestrian,points_collisions_vehicle,points_collisions_layout,points_red_light,points_stop_infraction,points_scenario_timeouts,points_yield_emergency_vehicle_infractions,points_outside_route_lanes,points_min_speed_infractions,points_route_dev,points_vehicle_blocked,points_route_timeout,points_rounding,zero_ds_excluded
2,3072,0,A-B,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2,3072,0,C-B,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2,3072,1,A-B,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2,3072,1,C-B,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2,3072,2,A-B,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2,3072,2,C-B,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2,25318,0,A-B,100.0,60.0,40.0,100.0,100.0,0.0,0.0,39.99999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.95484625968566e-14,False
2,25318,0,C-B,60.0,60.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2,25318,1,A-B,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2,25318,1,C-B,60.0,100.0,-40.0,100.0,100.0,0.0,0.0,-39.99999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.95484625968566e-14,False
2,25318,2,A-B,100.0,60.0,40.0,100.0,100.0,0.0,0.0,39.99999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.95484625968566e-14,False
2,25318,2,C-B,100.0,60.0,40.0,100.0,100.0,0.0,0.0,39.99999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.95484625968566e-14,False
2,27529,0,A-B,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2,27529,0,C-B,50.02,100.0,-49.98,50.02,100.0,-49.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2,27529,1,A-B,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2,27529,1,C-B,40.016,100.0,-59.984,50.02,100.0,-45.36976584805574,0.0,0.0,0.0,0.0,-14.61423415194425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2,27529,2,A-B,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2,27529,2,C-B,40.016,100.0,-59.984,50.02,100.0,-45.36976584805574,0.0,0.0,0.0,0.0,-14.61423415194425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2,28154,0,A-B,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2,28154,0,C-B,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2,28154,1,A-B,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2,28154,1,C-B,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2,28154,2,A-B,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2,28154,2,C-B,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
