level,route,seed,arm,speed_band,n,long_delta_median,long_delta_p10,long_delta_p90,steer_delta_median,steer_delta_p10,steer_delta_p90,long_abs_gt_0_05,steer_abs_gt_0_05
1,27494,1,C,<0.5,224,1.0279900105670094,-1.8608974903821944,1.074068857729435,-0.40198029577732086,-0.800000011920929,0.017304552718997,160,129
1,27494,1,C,0.5-3,42,-1.9724998474121094,-2.1190672516822815,-1.9724998474121094,-0.030734904482960693,-0.03846956218779088,-0.015697811846103936,42,3
1,27494,1,C,3-8,263,0.40071722865104675,-1.9724998474121094,1.4779860734939576,-0.00025528971519735134,-0.03750597864720556,0.08526493110590515,257,51
1,27494,1,C,>=8,10,1.1975762471556664,-0.3318225651979446,1.3381584137678146,-0.0019657062917637315,-0.005136671827640386,-0.0006112474168961251,10,0
1,27494,1,D,<0.5,227,0.0,-2.0808207750320435,1.1025417909026145,0.0,-0.09624866247177123,0.021521585027376822,138,83
1,27494,1,D,0.5-3,54,-1.9724998474121094,-2.101084065437317,1.2822537034749986,-0.017365051458279292,-0.10109467282891274,0.05707219039731557,54,23
1,27494,1,D,3-8,255,0.37827426788862795,-1.9724998474121094,1.4388040959835053,5.613803915265536e-05,-0.03441094574663374,0.03758613755305608,252,35
1,27494,1,D,>=8,9,1.16233029961586,-0.3024690687656403,1.3343054711818696,0.0031037755038899684,0.0025741315806905433,0.004374737694031663,9,0
1,27494,2,C,<0.5,287,0.0,-2.4045963823795318,0.0,0.0,-0.012802896519967662,0.005443684638788327,119,19
1,27494,2,C,0.5-3,38,-1.9724998474121094,-2.113430547714233,-1.9724998474121094,-0.020562935449803872,-0.030145022128191264,-0.013744603337720037,38,2
1,27494,2,C,3-8,266,0.4115534983575344,-1.9724998474121094,1.4319255948066711,-0.0008499268833353805,-0.03647347352570957,0.09162961261139976,261,53
1,27494,2,C,>=8,9,1.2814721763134003,0.8213005125522614,1.349831646680832,-0.0014338121935725204,-0.0029173499606549736,-0.0008725250282635285,9,0
1,27494,2,D,<0.5,209,0.0,-1.9559848666191102,1.0570424355566501,0.0,-0.3771405279636383,0.018549812957644463,126,78
1,27494,2,D,0.5-3,66,-1.9724998474121094,-2.097190707921982,1.1312673687934875,-0.024300533872511652,-0.12448321655392647,0.052492664770947564,66,32
1,27494,2,D,3-8,257,0.3892820477485657,-1.9724998474121094,1.4192899227142335,0.00012366924273212338,-0.03237002935508886,0.03881910381714504,255,36
1,27494,2,D,>=8,9,1.3177256882190704,1.2563525050878526,1.375542014837265,0.0030587513993183763,0.002014448335704704,0.004249654122007391,9,0
1,28198,0,C,<0.5,58,-0.5176289286464453,-1.9360763788223267,1.0826311580836774,-0.007673460058867931,-0.024439723789691926,0.009022330922488537,58,1
1,28198,0,C,0.5-3,42,-1.9724998474121094,-2.005317121744156,0.6771749943494796,0.01131981271189741,-0.04902050159871578,0.01602645490856634,42,4
1,28198,0,C,3-8,111,-0.8345484137535095,-2.089173197746277,1.3461538553237915,0.0028715385124087334,-0.02356882020831108,0.02589631939513816,110,7
1,28198,0,C,>=8,107,0.47255775332450867,-1.7744998931884766,1.399422174692154,-0.006088653163363536,-0.19438125705718992,0.11923005515336994,104,54
1,28198,0,D,<0.5,59,-0.4683495797216892,-1.9347079515457153,1.1098875299096107,-0.007475641090422869,-0.023181850090622902,0.0131124063341154,59,2
1,28198,0,D,0.5-3,43,-1.9724998474121094,-2.004889965057373,0.6462700903415681,0.011209940214434432,-0.036656485125422474,0.015846552856266502,43,3
1,28198,0,D,3-8,108,-0.8881266415119171,-2.045036715269089,1.3477092593908309,0.004042134539017246,-0.020129963929454486,0.024286188136372303,107,4
1,28198,0,D,>=8,107,0.4703137278556824,-1.7744998931884766,1.3938286364078523,-0.006383586994084503,-0.16170956873893738,0.0386162034802967,102,37
1,28198,1,C,<0.5,59,1.0320976935327053,-1.9288012266159058,1.0989673122763635,-0.007692466489970684,-0.03622478917241096,0.008574630766382648,59,2
1,28198,1,C,0.5-3,42,-1.9724998474121094,-2.003696697950363,0.6403159230947494,0.010157605010188288,-0.046358143165707584,0.01606289881343643,42,4
