level,route,seed,arm,ds,rc,completed,sr,wall_s,infra_retries,length_km,official_status,collisions_layout_per_km,collisions_pedestrian_per_km,collisions_vehicle_per_km,red_light_per_km,stop_infraction_per_km,outside_route_lanes_per_km,min_speed_infractions_per_km,yield_emergency_vehicle_infractions_per_km,scenario_timeouts_per_km,route_dev_per_km,vehicle_blocked_per_km,route_timeout_per_km
2,2050,1,C,60.0,100,True,False,89.00779180400423,0,0.078623,Completed,0.0,0.0,12.718924487745317,0.0,0.0,0.0,267.09741424265167,0.0,0.0,0.0,0.0,0.0
2,2050,1,D,100.0,100,True,True,89.00796040800924,0,0.078623,Completed,0.0,0.0,0.0,0.0,0.0,0.0,267.09741424265167,0.0,0.0,0.0,0.0,0.0
2,2050,2,A,100.0,100,True,True,102.53227508800046,0,0.078623,Completed,0.0,0.0,0.0,0.0,0.0,0.0,267.09741424265167,0.0,0.0,0.0,0.0,0.0
2,2050,2,B,100.0,100,True,True,82.51270277599906,0,0.078623,Completed,0.0,0.0,0.0,0.0,0.0,0.0,267.09741424265167,0.0,0.0,0.0,0.0,0.0
2,2050,2,C,100.0,100,True,True,90.01092974399216,0,0.078623,Completed,0.0,0.0,0.0,0.0,0.0,0.0,267.09741424265167,0.0,0.0,0.0,0.0,0.0
2,2050,2,D,100.0,100,True,True,89.00799740600633,0,0.078623,Completed,0.0,0.0,0.0,0.0,0.0,0.0,267.09741424265167,0.0,0.0,0.0,0.0,0.0
2,2084,0,A,100.0,100,True,True,124.55703633699886,0,0.07928,Completed,0.0,0.0,0.0,0.0,0.0,0.0,264.8839556004036,0.0,0.0,0.0,0.0,0.0
2,2084,0,B,60.0,100,True,False,147.80532465700162,0,0.07928,Completed,0.0,0.0,12.613521695257315,0.0,0.0,0.0,264.8839556004036,0.0,0.0,0.0,0.0,0.0
2,2084,0,C,50.76,50.76,False,False,131.01180643799307,0,0.07928,Failed - Agent deviated from the route,0.0,0.0,0.0,0.0,0.0,0.0,113.52169525731584,0.0,0.0,12.613521695257315,0.0,0.0
2,2084,0,D,50.76,50.76,False,False,133.01223087000835,0,0.07928,Failed - Agent deviated from the route,0.0,0.0,0.0,0.0,0.0,0.0,113.52169525731584,0.0,0.0,12.613521695257315,0.0,0.0
2,2084,1,A,100.0,100,True,True,129.36895286900108,0,0.07928,Completed,0.0,0.0,0.0,0.0,0.0,0.0,264.8839556004036,0.0,0.0,0.0,0.0,0.0
2,2084,1,B,60.0,100,True,False,164.19956607800123,0,0.07928,Completed,0.0,0.0,12.613521695257315,0.0,0.0,0.0,264.8839556004036,0.0,0.0,0.0,0.0,0.0
2,2084,1,C,30.456,50.76,False,False,814.0756587509968,0,0.07928,Failed - Agent deviated from the route,0.0,0.0,12.613521695257315,0.0,0.0,0.0,113.52169525731584,0.0,0.0,12.613521695257315,0.0,0.0
2,2084,1,D,50.76,50.76,False,False,147.01321405600174,0,0.07928,Failed - Agent deviated from the route,0.0,0.0,0.0,0.0,0.0,0.0,113.52169525731584,0.0,0.0,12.613521695257315,0.0,0.0
