set,examinee,L_s,window,scope,tau_model,null_ff,null_ff_oos,false_flip_nonreactive,n,unit,routes,flip,lo,hi,sign_agree,abs_over_tau_median
ba,M-C pair (mu=0) [cinque],0.3,(a) gated,cut-in,2.5602736473083496,0.04792013311148086,0.0546838188683159,0.05174589819099706,676,frame,26,0.6671597633136095,0.5302589277956382,0.7843581812729756,0.9600591715976331,1.3527672290802002
ba,M-C pair (mu=0) [cinque],0.3,(b) per pair,pooled,2.5602736473083496,0.43157894736842106,0.4011524822695035,0.045241038318912234,147,pair,49,0.7959183673469388,0.6938775510204082,0.891156462585034,0.9232192414431082,1.147642970085144
ba,M-C pair (mu=0) [cinque],0.3,(b) per pair,pedestrian,2.5602736473083496,0.43157894736842106,0.4011524822695035,0.01472055888223553,63,pair,21,0.6984126984126984,0.5079365079365079,0.873015873015873,0.8620689655172413,0.5220949649810791
ba,M-C pair (mu=0) [cinque],0.3,(b) per pair,cut-in,2.5602736473083496,0.43157894736842106,0.4011524822695035,0.04937775993576877,78,pair,26,0.9358974358974359,0.8458333333333333,1.0,0.9600591715976331,1.3527672290802002
ba,M-C pair qwen [cinque],0.3,per frame,pooled,1.5962463915348053,0.050062972292191435,0.04929764388906212,0.06427688504326329,1081,frame,49,0.6049953746530989,0.5215128265778234,0.6827762208474123,0.9333950046253469,1.3120566606521606
ba,M-C pair qwen [cinque],0.3,per frame,pedestrian,1.5962463915348053,0.050062972292191435,0.04929764388906212,0.021457085828343315,406,frame,21,0.4211822660098522,0.33498728746225964,0.5,0.8694581280788177,0.6876512765884399
ba,M-C pair qwen [cinque],0.3,per frame,cut-in,1.5962463915348053,0.050062972292191435,0.04929764388906212,0.0702529104777198,676,frame,26,0.7144970414201184,0.5961335516739447,0.8228294636465551,0.9733727810650887,1.53458833694458
ba,M-C pair qwen [cinque],0.3,(a) gated,pooled,1.5962463915348053,0.050249584026622295,0.04984612729859082,0.06764938141616215,1030,frame,46,0.6271844660194175,0.5453573786728293,0.7067804689237714,0.945631067961165,1.3530876636505127
ba,M-C pair qwen [cinque],0.3,(a) gated,pedestrian,1.5962463915348053,0.050249584026622295,0.04984612729859082,0.022116903633491312,364,frame,21,0.4478021978021978,0.36119970100909427,0.527953083407276,0.8956043956043956,0.7729803919792175
ba,M-C pair qwen [cinque],0.3,(a) gated,cut-in,1.5962463915348053,0.050249584026622295,0.04984612729859082,0.0736222128733698,676,frame,26,0.7144970414201184,0.5961335516739447,0.8228294636465551,0.9733727810650887,1.53458833694458
ba,M-C pair qwen [cinque],0.3,(b) per pair,pooled,1.5962463915348053,0.45263157894736844,0.46343085106382975,0.06427688504326329,147,pair,49,0.8367346938775511,0.7346938775510204,0.9251700680272109,0.9333950046253469,1.3120566606521606
ba,M-C pair qwen [cinque],0.3,(b) per pair,pedestrian,1.5962463915348053,0.45263157894736844,0.46343085106382975,0.021457085828343315,63,pair,21,0.7777777777777778,0.6031746031746031,0.9206349206349206,0.8694581280788177,0.6876512765884399
ba,M-C pair qwen [cinque],0.3,(b) per pair,cut-in,1.5962463915348053,0.45263157894736844,0.46343085106382975,0.0702529104777198,78,pair,26,0.9487179487179487,0.8589743589743589,1.0,0.9733727810650887,1.53458833694458
ba,M-C pair op [cinque],0.1,per frame,pooled,1.225830465555191,0.050062972292191435,0.05009753835575916,0.06749072929542645,1081,frame,49,0.5578168362627197,0.43687941285767373,0.6741072304132687,0.910268270120259,1.4700632095336914
ba,M-C pair op [cinque],0.1,per frame,pedestrian,1.225830465555191,0.050062972292191435,0.05009753835575916,0.0014970059880239522,406,frame,21,0.06896551724137931,0.02992456566225632,0.11601337674212112,0.7758620689655172,0.23491543531417847
ba,M-C pair op [cinque],0.1,per frame,cut-in,1.225830465555191,0.050062972292191435,0.05009753835575916,0.10718586912886391,676,frame,26,0.8505917159763313,0.7743161114003123,0.9160422550138775,0.9792899408284024,2.4308345317840576
ba,M-C pair op [cinque],0.1,(a) gated,pooled,1.225830465555191,0.04888313370022661,0.05045823267125378,0.06960734319224886,1051,frame,46,0.5737392959086585,0.4544509182528591,0.6935047407120742,0.9124643196955281,1.5384327173233032
ba,M-C pair op [cinque],0.1,(a) gated,pedestrian,1.225830465555191,0.04888313370022661,0.05045823267125378,0.0015372790161414297,385,frame,21,0.07272727272727272,0.03187946372635008,0.12088183421516753,0.7766233766233767,0.25788751244544983
ba,M-C pair op [cinque],0.1,(a) gated,cut-in,1.225830465555191,0.04888313370022661,0.05045823267125378,0.10969597370583402,676,frame,26,0.8505917159763313,0.7743161114003123,0.9160422550138775,0.9792899408284024,2.4308345317840576
ba,M-C pair op [cinque],0.1,(b) per pair,pooled,1.225830465555191,0.45263157894736844,0.4532358156028369,0.06749072929542645,147,pair,49,0.673469387755102,0.5510204081632653,0.7959183673469388,0.910268270120259,1.4700632095336914
ba,M-C pair op [cinque],0.1,(b) per pair,pedestrian,1.225830465555191,0.45263157894736844,0.4532358156028369,0.0014970059880239522,63,pair,21,0.3333333333333333,0.15873015873015872,0.5396825396825397,0.7758620689655172,0.23491543531417847
ba,M-C pair op [cinque],0.1,(b) per pair,cut-in,1.225830465555191,0.45263157894736844,0.4532358156028369,0.10718586912886391,78,pair,26,1.0,1.0,1.0,0.9792899408284024,2.4308345317840576
ba,M-C hard [cinque],0.3,per frame,pooled,1.3206075429916382,0.050062972292191435,0.04923568304831347,0.07243510506798517,1081,frame,49,0.484736355226642,0.3569327601390919,0.6040899589023762,0.8936170212765957,0.9321094751358032
ba,M-C hard [cinque],0.3,per frame,pedestrian,1.3206075429916382,0.050062972292191435,0.04923568304831347,0.005239520958083832,406,frame,21,0.0,0.0,0.0,0.7512315270935961,0.15440917015075684
ba,M-C hard [cinque],0.3,per frame,cut-in,1.3206075429916382,0.050062972292191435,0.04923568304831347,0.10919309514251305,676,frame,26,0.7751479289940828,0.6754662315605906,0.8620702716823406,0.9718934911242604,1.8190282583236694
ba,M-C hard [cinque],0.3,(a) gated,pooled,1.3206075429916382,0.04891846921797005,0.0521989222652279,0.07712555935772572,1030,frame,46,0.5087378640776699,0.3819994613124388,0.6320903029594104,0.9009708737864077,1.0273534059524536
ba,M-C hard [cinque],0.3,(a) gated,pedestrian,1.3206075429916382,0.04891846921797005,0.0521989222652279,0.005529225908372828,364,frame,21,0.0,0.0,0.0,0.7582417582417582,0.16635297238826752
