group,axis,vlm,best_baseline,baseline_acc,vlm_acc,delta,d_lo,d_hi
pre_onset | route turn,lat3,VLM Qwen3-VL-4B text,route command (CTRA long; lateral = intent),0.9988505747126437,0.9977011494252873,-0.0011494252873563218,-0.003681094647352316,0.0
pre_onset | route turn,lat3,VLM Qwen3-VL-32B-FP8 text,route command (CTRA long; lateral = intent),0.9988505747126437,0.9988505747126437,0.0,0.0,0.0
pre_onset | route turn,lat3,VLM Qwen3-VL-32B-FP8 main,route command (CTRA long; lateral = intent),0.9988505747126437,0.9551724137931035,-0.04367816091954023,-0.07798918789464769,-0.018983763755486296
pre_onset | route turn,lat,VLM Qwen3-VL-4B main,route command (CTRA long; lateral = intent),0.9919540229885058,0.957471264367816,-0.034482758620689655,-0.07684154688888838,-0.0021862218282875864
pre_onset | route turn,lat,VLM Qwen3-VL-4B text,route command (CTRA long; lateral = intent),0.9919540229885058,0.9908045977011494,-0.0011494252873563218,-0.003681094647352316,0.0
pre_onset | route turn,lat,VLM Qwen3-VL-32B-FP8 text,route command (CTRA long; lateral = intent),0.9919540229885058,0.9919540229885058,0.0,0.0,0.0
pre_onset | route turn,lat,VLM Qwen3-VL-32B-FP8 main,route command (CTRA long; lateral = intent),0.9919540229885058,0.9448275862068966,-0.047126436781609195,-0.0827291692358285,-0.021349755338078296
pre_onset | route turn,joint,VLM Qwen3-VL-4B main,route command (CTRA long; lateral = intent),0.6436781609195402,0.48735632183908045,-0.15632183908045977,-0.27716750852608385,-0.03779030849444878
pre_onset | route turn,joint,VLM Qwen3-VL-4B text,route command (CTRA long; lateral = intent),0.6436781609195402,0.5367816091954023,-0.10689655172413794,-0.22471403854280453,-0.005262332085443735
pre_onset | route turn,joint,VLM Qwen3-VL-32B-FP8 text,route command (CTRA long; lateral = intent),0.6436781609195402,0.6022988505747127,-0.041379310344827586,-0.10166165179497821,0.01857202600463825
pre_onset | route turn,joint,VLM Qwen3-VL-32B-FP8 main,route command (CTRA long; lateral = intent),0.6436781609195402,0.4724137931034483,-0.17126436781609194,-0.2739593607789184,-0.07081892693986112
