group,variant,model,n,lat@2s,lon@2s,lat@4s,lon@4s,curv_mae,curv_r,d_lat@2s,d_lat@2s_segmin,d_lat@2s_segmax,d_lon@2s,d_lon@2s_segmin,d_lon@2s_segmax,d_lat@4s,d_lat@4s_segmin,d_lat@4s_segmax
timing,t-wide-lag50ms,lebowski,4400,0.2123,1.0779,1.0778,3.4775,0.0015,0.9935,-0.0005,-0.0012,0.0003,-0.0009,-0.0115,0.0059,-0.0016,-0.0041,0.0016
timing,t-jitter,small,4400,0.488,2.4049,1.9611,6.0948,0.002,0.9789,0.1097,0.0625,0.1635,0.6302,0.2878,1.1187,0.2646,0.1051,0.4334
timing,t-jitter,cinque,8800,0.2989,2.1117,1.1776,5.1865,0.0013,0.9744,0.1353,0.0234,0.2641,1.2544,0.8286,1.7095,0.4636,0.1155,0.9364
timing,t-jitter,lebowski,4400,0.433,2.3677,1.7336,5.773,0.0023,0.967,0.2202,0.183,0.2418,1.2889,0.7502,1.6507,0.6542,0.4811,0.7679
timing,t-cold-1.5s,small,440,0.3923,1.7133,1.7706,5.009,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
timing,t-cold-1.5s,cinque,880,0.1759,1.0531,0.7934,2.9774,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
timing,t-cold-1.5s,lebowski,440,0.3265,2.0386,1.7293,5.4143,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
timing,t-navsim-2hz-1.5s,small,440,1.4901,15.0682,4.7322,30.3675,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
timing,t-navsim-2hz-1.5s,cinque,880,1.4688,21.539,4.8171,42.8237,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
timing,t-navsim-2hz-1.5s,lebowski,440,1.9597,15.5645,6.5113,28.9374,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
combined,wod-like,small,4400,0.6395,5.1812,2.551,10.5423,0.0016,0.9908,0.2613,0.0834,0.4975,3.4065,1.9655,5.6613,0.8545,0.2851,1.7757
combined,wod-like,cinque,8800,0.3487,4.4216,1.3408,8.7446,0.0023,0.9619,0.1851,0.019,0.3273,3.5642,1.5656,5.2971,0.6269,0.131,1.4094
combined,wod-like,lebowski,4400,0.5537,5.5873,2.194,10.717,0.0028,0.9879,0.3409,0.1776,0.5746,4.5085,3.4006,6.9841,1.1146,0.3185,2.3315
combined,navsim-like,small,4400,0.5484,3.9205,2.2135,8.4165,0.0015,0.9919,0.1702,0.0535,0.327,2.1458,1.3554,3.4834,0.5171,0.1693,1.1495
combined,navsim-like,cinque,8800,0.2834,3.0843,1.0974,6.124,0.0019,0.969,0.1198,-0.0012,0.2757,2.227,1.0854,3.0769,0.3834,0.0488,1.2287
combined,navsim-like,lebowski,4400,0.421,3.9938,1.7386,7.9778,0.0021,0.9904,0.2081,0.0994,0.3851,2.915,2.0956,3.9388,0.6592,0.0696,1.5896
