scope,judge,n,delta,lo,hi,model,gate,source
FOD,ADE dec1-9,3175,0.0099290274083614,0.0014517183886556,0.0196946380620547,lebowski,g3,mc
FOD,ADE pre_onset dec1-9,252,0.0368065610527992,-0.0020787136422263,0.0994176985600083,lebowski,g3,mc
Intersections,RFS (rater),116,-0.0531140028050171,-0.1579521435410687,0.0,lebowski,g3,mc
Intersections,ADE dec1-9,4299,0.0107484003528952,-0.000760019204233,0.0239595726833505,lebowski,g3,mc
Intersections,ADE pre_onset dec1-9,301,-0.0235295463353395,-0.0961457282050766,0.0453286698083095,lebowski,g3,mc
all,RFS (rater),478,-0.1003924939986734,-0.1915451451528982,-0.0138816958117562,lebowski,g2,mc
all,ADE dec1-9,17389,0.1226709708571434,0.1056417931825437,0.1403288509269476,lebowski,g2,mc
all,ADE pre_onset dec1-9,1245,0.0076506650075316,-0.0350776535607983,0.0496243099765333,lebowski,g2,mc
Pedestrians,RFS (rater),52,0.0529602390055538,-0.2263053772090524,0.3250485525129559,lebowski,g2,mc
Pedestrians,ADE dec1-9,1637,0.1711327731609344,0.0992444722939044,0.2555529793254893,lebowski,g2,mc
Pedestrians,ADE pre_onset dec1-9,83,-0.0217884313315153,-0.206861601541286,0.1772039825076028,lebowski,g2,mc
Cyclists,RFS (rater),71,-0.4213447540504292,-0.7166497975400065,-0.1777237618676758,lebowski,g2,mc
Cyclists,ADE dec1-9,2326,0.1378301680088043,0.0943632396959372,0.1837609220774698,lebowski,g2,mc
Cyclists,ADE pre_onset dec1-9,206,-0.0022473868448287,-0.1083102587903273,0.1202535430255874,lebowski,g2,mc
Cut_ins,RFS (rater),20,-0.424894288847414,-0.777865614424422,-0.1508310105133146,lebowski,g2,mc
Cut_ins,ADE dec1-9,724,0.1575185507535934,0.0901848474636728,0.2274173511436504,lebowski,g2,mc
Cut_ins,ADE pre_onset dec1-9,16,-0.0860472321510315,-0.2317895633833749,0.0930071132523673,lebowski,g2,mc
FOD,RFS (rater),78,-0.0518671926433494,-0.3378256977826944,0.2096335551588184,lebowski,g2,mc
FOD,ADE dec1-9,3175,0.135123148560524,0.0967725362256723,0.1747140149382297,lebowski,g2,mc
FOD,ADE pre_onset dec1-9,252,0.0726867616176605,-0.014529302430309,0.1640960283386653,lebowski,g2,mc
Intersections,RFS (rater),116,-0.0329812167879813,-0.1683251021236878,0.0898347904877088,lebowski,g2,mc
Intersections,ADE dec1-9,4299,0.0896151661872863,0.0618025854930952,0.1198072505615659,lebowski,g2,mc
Intersections,ADE pre_onset dec1-9,301,-0.0609657429158687,-0.1563955253039577,0.0252905927970251,lebowski,g2,mc
all,RFS (rater),478,-0.0485607780808407,-0.1293267393228169,0.0310875004519864,lebowski,c2,mc
all,ADE dec1-9,17389,0.1018733605742454,0.0875866011519864,0.1164213249475751,lebowski,c2,mc
all,ADE pre_onset dec1-9,1245,0.0321771055459976,-0.0117637804777613,0.076335214389111,lebowski,c2,mc
Pedestrians,RFS (rater),52,0.2274982105593777,0.0017292640105377,0.4653454040564918,lebowski,c2,mc
Pedestrians,ADE dec1-9,1637,0.0864878073334693,0.0371464251630336,0.1394402261499745,lebowski,c2,mc
Pedestrians,ADE pre_onset dec1-9,83,-0.0669982507824897,-0.2156040844311525,0.0929130377178836,lebowski,c2,mc
Cyclists,RFS (rater),71,-0.2263878566021862,-0.4396475006764643,-0.0422023491239083,lebowski,c2,mc
