examinee,vs,scope,n,delta,lo,hi
student A s2 [lebowski],ridge_late op-lebowski temporal,static,959,-0.0312825860271115,-0.0446540364077911,-0.0186717154343946
student B s0 [lebowski],ridge_late op-lebowski temporal,pooled,1832,-0.033296943231441,-0.0472060574546331,-0.0203191286964106
student B s0 [lebowski],ridge_late op-lebowski temporal,cutin,216,-0.0231481481481481,-0.05,0.0042414880907936
student B s0 [lebowski],ridge_late op-lebowski temporal,oncoming,657,-0.0380517503805175,-0.0602232784740984,-0.0164917541229385
student B s0 [lebowski],ridge_late op-lebowski temporal,static,959,-0.0323253388946819,-0.0455487090746394,-0.02
student B s1 [lebowski],ridge_late op-lebowski temporal,pooled,1832,-0.0278384279475982,-0.0390376361548366,-0.017297199970206
student B s1 [lebowski],ridge_late op-lebowski temporal,cutin,216,-0.0138888888888888,-0.0390291726446676,0.0135135135135135
student B s1 [lebowski],ridge_late op-lebowski temporal,oncoming,657,-0.030441400304414,-0.0498489425981873,-0.0122883152865341
student B s1 [lebowski],ridge_late op-lebowski temporal,static,959,-0.0291970802919708,-0.0421940928270042,-0.0167534885758724
student B s2 [lebowski],ridge_late op-lebowski temporal,pooled,1832,-0.029475982532751,-0.0433838855506449,-0.0166122569681622
student B s2 [lebowski],ridge_late op-lebowski temporal,cutin,216,-0.0185185185185185,-0.0519480519480519,0.0142857142857142
student B s2 [lebowski],ridge_late op-lebowski temporal,oncoming,657,-0.0334855403348554,-0.0547736188822432,-0.0137399343697635
student B s2 [lebowski],ridge_late op-lebowski temporal,static,959,-0.0291970802919708,-0.0425770015078147,-0.0172926824990353
M-C pair [lebowski] x g1,ridge_late op-lebowski temporal,pooled,1832,-0.0158296943231441,-0.0304306197034919,-0.0016665742793791
M-C pair [lebowski] x g1,ridge_late op-lebowski temporal,cutin,216,-0.0277777777777777,-0.0567711459260332,0.0
M-C pair [lebowski] x g1,ridge_late op-lebowski temporal,oncoming,657,-0.0045662100456621,-0.0305822105455413,0.0199700460829493
M-C pair [lebowski] x g1,ridge_late op-lebowski temporal,static,959,-0.0208550573514077,-0.0395946761378974,-0.0041362912116351
M-C pair [lebowski] x g3,ridge_late op-lebowski temporal,pooled,1832,-0.0038209606986899,-0.0138450230065171,0.0067814809212033
M-C pair [lebowski] x g3,ridge_late op-lebowski temporal,cutin,216,-0.0092592592592592,-0.027027027027027,0.0095238095238095
M-C pair [lebowski] x g3,ridge_late op-lebowski temporal,oncoming,657,0.0076103500761035,-0.002919921770634,0.0183788432088585
M-C pair [lebowski] x g3,ridge_late op-lebowski temporal,static,959,-0.0104275286757038,-0.025911468192586,0.0041240311730402
M-C pair [lebowski] x g2,ridge_late op-lebowski temporal,pooled,1832,0.0038209606986899,-0.0016511870961157,0.0096016145537236
