scope,n,activation,lo,hi,delta_mag_median_m,model,gate,source,tau
all,19663,0.0,0.0,0.0,0.0438320934772491,lebowski,c2,stAs0,1.4076549708843231
Pedestrians,1831,0.0,0.0,0.0,0.0376889519393444,lebowski,c2,stAs0,1.4076549708843231
Cyclists,2830,0.0,0.0,0.0,0.0336767509579658,lebowski,c2,stAs0,1.4076549708843231
Cut_ins,885,0.0,0.0,0.0,0.0404315516352653,lebowski,c2,stAs0,1.4076549708843231
FOD,3561,0.0,0.0,0.0,0.0445283129811286,lebowski,c2,stAs0,1.4076549708843231
Intersections,4772,0.0,0.0,0.0,0.0482961013913154,lebowski,c2,stAs0,1.4076549708843231
straight_yaw,11597,0.041131327067345,0.0344351879997025,0.0486764401501607,0.2785260379314422,cinque,none,stAs1,1.563609778881073
pre_onset,1458,0.0377229080932784,0.0176867241742057,0.0610305908474158,0.2057723104953766,cinque,none,stAs1,1.563609778881073
all,19663,0.0319381579616538,0.0269326364646669,0.0370070101515391,0.1971678584814071,cinque,none,stAs1,1.563609778881073
Pedestrians,1831,0.0207536865101037,0.0103367784474471,0.0327011619672534,0.1622038930654525,cinque,none,stAs1,1.563609778881073
Cyclists,2830,0.0275618374558303,0.0165784773974429,0.0408237061873525,0.1552241742610931,cinque,none,stAs1,1.563609778881073
Cut_ins,885,0.0169491525423728,0.0074231177094379,0.0307125307125307,0.167912870645523,cinque,none,stAs1,1.563609778881073
FOD,3561,0.0292052794158944,0.0207074886050113,0.0386557226196263,0.2225920706987381,cinque,none,stAs1,1.563609778881073
Intersections,4772,0.0435875943000838,0.0321202686048395,0.0562818673825402,0.2556994557380676,cinque,none,stAs1,1.563609778881073
straight_yaw,11597,0.0221609036819867,0.0170590864060581,0.0281569862811568,0.1810736358165741,cinque,g1,stAs1,1.563609778881073
pre_onset,1458,0.0329218106995884,0.0137739549646664,0.0557221952674085,0.1826013624668121,cinque,g1,stAs1,1.563609778881073
all,19663,0.0194273508620251,0.0153705299459785,0.0238608209943698,0.1457463204860687,cinque,g1,stAs1,1.563609778881073
Pedestrians,1831,0.0147460404150737,0.0064325293962958,0.0248555729727964,0.1250166594982147,cinque,g1,stAs1,1.563609778881073
Cyclists,2830,0.0162544169611307,0.0083044982698961,0.0260840490872503,0.1207970082759857,cinque,g1,stAs1,1.563609778881073
Cut_ins,885,0.007909604519774,0.0010752688172043,0.0189349112426035,0.121658980846405,cinque,g1,stAs1,1.563609778881073
FOD,3561,0.0146026397079472,0.008387297312514,0.02183545192919,0.1549370735883712,cinque,g1,stAs1,1.563609778881073
Intersections,4772,0.0284995808885163,0.0180233870129042,0.0403452151124292,0.1850799918174743,cinque,g1,stAs1,1.563609778881073
straight_yaw,11597,0.0001724583944123,0.0,0.0005343831008975,0.0,cinque,g3,stAs1,1.563609778881073
pre_onset,1458,0.0,0.0,0.0,0.0,cinque,g3,stAs1,1.563609778881073
all,19663,0.0001017138788587,0.0,0.0003108333183047,0.0,cinque,g3,stAs1,1.563609778881073
Pedestrians,1831,0.0,0.0,0.0,0.0,cinque,g3,stAs1,1.563609778881073
Cyclists,2830,0.0,0.0,0.0,0.0,cinque,g3,stAs1,1.563609778881073
Cut_ins,885,0.0,0.0,0.0,0.0,cinque,g3,stAs1,1.563609778881073
FOD,3561,0.0,0.0,0.0,0.0,cinque,g3,stAs1,1.563609778881073
Intersections,4772,0.0,0.0,0.0,0.0,cinque,g3,stAs1,1.563609778881073
straight_yaw,11597,0.000517375183237,8.32696674232009e-05,0.0011288862619919,0.0339824929833412,cinque,g2,stAs1,1.563609778881073
pre_onset,1458,0.0034293552812071,0.0,0.0089718595220937,0.0227812267839908,cinque,g2,stAs1,1.563609778881073
all,19663,0.0012205665463052,0.0003581345984904,0.0024994549717984,0.0259580798447132,cinque,g2,stAs1,1.563609778881073
Pedestrians,1831,0.0027307482250136,0.0005117641823317,0.0058412922883532,0.0253889672458171,cinque,g2,stAs1,1.563609778881073
Cyclists,2830,0.001060070671378,0.0,0.003362003765677,0.027113702148199,cinque,g2,stAs1,1.563609778881073
Cut_ins,885,0.0,0.0,0.0,0.0299743302166461,cinque,g2,stAs1,1.563609778881073
FOD,3561,0.0011232799775344,0.0,0.0025929313861995,0.0247952491044998,cinque,g2,stAs1,1.563609778881073
Intersections,4772,0.0020955574182732,0.0,0.0065746219592373,0.0269973967224359,cinque,g2,stAs1,1.563609778881073
straight_yaw,11597,8.622919720617402e-05,0.0,0.000269134331331,0.0446731708943843,cinque,c2,stAs1,1.563609778881073
