set,examinee,scope,L_s,pairs,null_cases,area_L_10,area_lo,area_hi,null_area_L_10,null_lo,null_hi,area_minus_null,diff_lo,diff_hi,area_L_3_descriptive,A3,A3_lo,A3_hi,A3_null,A3_null_lo,A3_null_hi,A3_minus_null,A3_diff_lo,A3_diff_hi,area_reactive_only_L_10,end_all,end_reactive_only,null_end
ba,ridge_late op-lebowski hidden,pedestrian,0.1,63,42,0.106031746031746,0.012966228070175449,0.21690784313725447,0.19761904761904758,0.0861666666666667,0.321904761904762,-0.09158730158730158,-0.23794578357658874,0.05440032372598168,0.05714285714285714,0.05714285714285714,0.00246588693957115,0.12169606114050556,0.1634920634920635,0.06349206349206347,0.27142857142857135,-0.10634920634920636,-0.22198579782790304,0.0027068668046928202,0.09936507936507936,0.12698412698412698,0.12698412698412698,0.21428571428571427
ba,prior [cinque],pedestrian,0.1,63,42,0.00857142857142857,0.0,0.02842105263157893,0.2119047619047619,0.10570238095238087,0.34288095238095245,-0.20333333333333334,-0.3316383928571431,-0.09571428571428581,0.0,0.0,0.0,0.0,0.153968253968254,0.06190476190476189,0.2666666666666666,-0.153968253968254,-0.2666666666666666,-0.06190476190476189,0.00857142857142857,0.015873015873015872,0.015873015873015872,0.23809523809523808
ba,M-C pair [cinque],pedestrian,0.3,63,42,0.7191448007774538,0.5986313573048264,0.8330839002267574,0.34013605442176864,0.21331389698736652,0.47429543245869776,0.37900874635568516,0.22371537900874608,0.544706295216499,0.44331065759637184,0.44331065759637184,0.2835472067614925,0.6076616878635512,0.19557823129251695,0.1020408163265306,0.3044642857142854,0.2477324263038549,0.07286407155454781,0.42822795784980644,0.6407515387107223,0.8412698412698413,0.7619047619047619,0.40476190476190477
ba,M-C pair (mu=0) [cinque],pedestrian,0.3,63,42,0.6831875607385811,0.5387414965986398,0.8179863945578237,0.2662779397473275,0.14526239067055402,0.3975097181729831,0.4169096209912536,0.23012579635028635,0.6010262390670552,0.3990929705215419,0.3990929705215419,0.23409679089026916,0.5696031746031747,0.21428571428571425,0.11054421768707483,0.32823129251700683,0.18480725623582767,-0.013530280533265885,0.38117913832199535,0.5840621963070943,0.8095238095238095,0.6984126984126984,0.30952380952380953
ba,M-C pair qwen [cinque],pedestrian,0.3,63,42,0.7418205377389051,0.6318956916099775,0.8373438402276027,0.32555879494655005,0.20017006802721096,0.45487123420796893,0.41626174279235506,0.25677842565597625,0.5733060367003936,0.45011337868480716,0.45011337868480716,0.29478458049886624,0.6066785714285713,0.19217687074829934,0.09689625850340135,0.30272108843537415,0.2579365079365078,0.06819325098460437,0.449201762523191,0.6485260770975056,0.8888888888888888,0.7777777777777778,0.38095238095238093
ba,M-C pair op [cinque],pedestrian,0.1,63,42,0.246984126984127,0.10805889724310778,0.3926332497911446,0.24523809523809526,0.1342738095238096,0.3728690476190475,0.0017460317460317454,-0.16458928571428574,0.16295496031746026,0.07619047619047618,0.07619047619047618,0.013167789001122334,0.1487222222222222,0.1571428571428571,0.06984126984126983,0.26666666666666666,-0.08095238095238093,-0.19430921257391848,0.013529629629629608,0.24634920634920637,0.3333333333333333,0.3333333333333333,0.2857142857142857
ba,M-C hard [cinque],pedestrian,0.3,63,42,0.0,0.0,0.0,0.24781341107871718,0.12925170068027222,0.3873056365403304,-0.24781341107871718,-0.3873056365403306,-0.12925170068027222,0.0,0.0,0.0,0.0,0.21428571428571427,0.09863945578231292,0.35204081632653056,-0.21428571428571427,-0.35204081632653056,-0.09863945578231292,0.0,0.0,0.0,0.2619047619047619
ba,M-C uniform [cinque],pedestrian,0.3,63,42,0.0,0.0,0.0,0.18950437317784255,0.08745140913508265,0.3100218658892129,-0.18950437317784255,-0.310021865889213,-0.0874514091350827,0.0,0.0,0.0,0.0,0.13265306122448978,0.04761904761904761,0.24489795918367346,-0.13265306122448978,-0.24489795918367346,-0.04761904761904761,0.0,0.0,0.0,0.21428571428571427
ba,prior [lebowski],pedestrian,0.1,63,42,0.08507936507936506,0.013333333333333322,0.18002777777777768,0.22761904761904764,0.1157142857142858,0.35240476190476194,-0.14253968253968258,-0.2621441672362726,-0.02264856711915551,0.02857142857142857,0.02857142857142857,0.0,0.06868927368927369,0.16507936507936505,0.06984126984126984,0.26670634920634906,-0.13650793650793647,-0.24011051178671305,-0.0398883712905452,0.08126984126984127,0.1111111111111111,0.1111111111111111,0.2619047619047619
ba,M-C pair [lebowski],pedestrian,0.3,63,42,0.6980887593132489,0.5675400235282085,0.8228053494124923,0.21477162293488825,0.10252672497570449,0.33530126336248794,0.4833171363783606,0.28615160349854163,0.6733284742468414,0.40249433106575966,0.40249433106575966,0.25098020186335396,0.5677678571428572,0.15646258503401358,0.06122448979591836,0.25850340136054417,0.24603174603174607,0.05404942279942278,0.45457190053054697,0.6112730806608357,0.8253968253968254,0.7301587301587301,0.23809523809523808
