scenario,dataset,difficulty,agent,controller,tag,hdscore,rc,nc,dac,ttc,c,pdms,steps,end,wall_s,rc_code,finished,scene,run_dir
scene-039-easy-00,pandaset,easy,cinque,official,cinque-official,0.20698230184396196,0.33552920509442247,0.8636363636363636,0.8939393939393939,0.7878787878787878,0.3484848484848485,0.616883116883117,66,bg_collision,73.8,0,2026-09-25 13:16:42,039,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/039_easy_00
scene-040-easy-00,pandaset,easy,cinque,official,cinque-official,0.04685571144090324,0.09019724452373873,0.7272727272727273,0.9090909090909091,0.6363636363636364,0.45454545454545453,0.5194805194805195,11,bg_collision,22.0,0,2026-09-25 13:17:08,040,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/040_easy_00
scene-113-easy-00,pandaset,easy,cinque,official,cinque-official,0.01958236833681673,0.045692192785905715,0.6666666666666666,1.0,0.5666666666666667,0.16666666666666666,0.4285714285714285,30,bg_collision,42.5,0,2026-09-25 13:17:55,113,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/113_easy_00
scene-032-medium-00,pandaset,medium,cinque,official,cinque-official,0.024391159142932193,0.06681056634803166,0.4444444444444444,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.36507936507936506,9,bg_collision,21.0,0,2026-09-25 13:18:21,032,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/032_medium_00
scene-032-medium-02,pandaset,medium,cinque,official,cinque-official,0.022612807071641483,0.06783842121492445,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.3333333333333333,9,bg_collision,16.9,0,2026-09-25 13:18:38,032,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/032_medium_02
scene-053-medium-02,pandaset,medium,cinque,official,cinque-official,0.0870506305288914,0.09749670619235837,1.0,1.0,1.0,0.625,0.8928571428571429,16,off_route,20.5,0,2026-09-25 13:19:02,053,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/053_medium_02
scene-095-medium-01,pandaset,medium,cinque,official,cinque-official,0.024936813311762146,0.06431072906717605,0.42857142857142855,0.5,0.5,0.2857142857142857,0.38775510204081637,14,bg_collision,19.2,0,2026-09-25 13:19:29,095,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/095_medium_01
scene-034-hard-00,pandaset,hard,cinque,official,cinque-official,0.028525419829767657,0.07729468599033816,0.5,0.75,0.4166666666666667,0.25,0.36904761904761907,12,bg_collision,19.0,0,2026-09-25 13:19:48,034,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/034_hard_00
scene-113792265837-easy-00,waymo,easy,cinque,fixed,cinque-fixed,0.13336974828166961,0.13336974828166961,1.0,1.0,1.0,1.0,1.0,400,max_steps,334.1,0,2026-09-25 13:19:51,113792265837_0_200,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-fixed/zs/113792265837_0_200_easy_00
scene-034-hard-01,pandaset,hard,cinque,official,cinque-official,0.026057678231591275,0.07817303469477382,0.5,0.75,0.3333333333333333,0.3333333333333333,0.3333333333333333,12,bg_collision,20.4,0,2026-09-25 13:20:08,034,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/034_hard_01
scene-090-hard-01,pandaset,hard,cinque,official,cinque-official,0.02475019073614733,0.031878245668157744,1.0,1.0,1.0,0.21739130434782608,0.7763975155279507,46,off_route,45.3,0,2026-09-25 13:20:58,090,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/090_hard_01
scene-124-hard-01,pandaset,hard,cinque,official,cinque-official,0.023364075537988572,0.05006587615283267,0.7,0.9666666666666667,0.7,0.13333333333333333,0.4666666666666665,30,bg_collision,30.1,0,2026-09-25 13:21:33,124,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/124_hard_01
scene-021-extreme-02,pandaset,extreme,cinque,official,cinque-official,0.029959810010960895,0.057971014492753624,0.7058823529411765,1.0,0.6764705882352942,0.14705882352941177,0.5168067226890755,34,fg_collision,55.6,0,2026-09-25 13:22:29,021,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/021_extreme_02
scene-053-extreme-02,pandaset,extreme,cinque,official,cinque-official,0.09439111613024657,0.103645147123408,1.0,1.0,1.0,0.6875,0.9107142857142858,16,off_route,27.7,0,2026-09-25 13:22:57,053,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/053_extreme_02
