scope,judge,n,delta,lo,hi,model,arm
all,ADE dec1-9,17389,1.2755453477543421,1.2181927527733278,1.333761471117233,cinque,G3 student B (a) s2
all,ADE pre_onset dec1-9,1245,1.4358610686356639,1.1680908372545757,1.6942012436199543,cinque,G3 student B (a) s2
Pedestrians,RFS (rater),52,-0.5993084651720427,-1.1339221137491913,-0.0857477641802569,cinque,G3 student B (a) s2
Pedestrians,ADE dec1-9,1637,1.1156038241357005,0.9687029667997548,1.2720465189284003,cinque,G3 student B (a) s2
Pedestrians,ADE pre_onset dec1-9,83,1.092764841634893,0.5196693391743975,1.7836347040929863,cinque,G3 student B (a) s2
Cyclists,RFS (rater),71,-1.4744784059411427,-1.9725608449843148,-0.9977072968746922,cinque,G3 student B (a) s2
Cyclists,ADE dec1-9,2326,1.0738773935599106,0.9279973129068286,1.2230624661746505,cinque,G3 student B (a) s2
Cyclists,ADE pre_onset dec1-9,206,0.8700575978123781,0.5639129539023684,1.2233107071403218,cinque,G3 student B (a) s2
Cut_ins,RFS (rater),20,-1.218981397536193,-1.9333972010817042,-0.5588091547479414,cinque,G3 student B (a) s2
Cut_ins,ADE dec1-9,724,1.0190096211364552,0.7717798751466651,1.2499422850401636,cinque,G3 student B (a) s2
Cut_ins,ADE pre_onset dec1-9,16,0.20615715830982934,-0.5103281453555697,0.8117055377385044,cinque,G3 student B (a) s2
FOD,RFS (rater),78,-1.2117456469024175,-1.677531523971407,-0.7563972089273053,cinque,G3 student B (a) s2
FOD,ADE dec1-9,3175,1.5298792404737378,1.4127998359542848,1.6533787422776263,cinque,G3 student B (a) s2
FOD,ADE pre_onset dec1-9,252,2.2585036754627605,1.6743355242893943,2.859351341702343,cinque,G3 student B (a) s2
Intersections,RFS (rater),116,-0.9339244635119881,-1.3389210996949945,-0.5247867359276337,cinque,G3 student B (a) s2
Intersections,ADE dec1-9,4299,1.3257376934601481,1.201287358006102,1.4536333801300179,cinque,G3 student B (a) s2
Intersections,ADE pre_onset dec1-9,301,1.5145245512427101,0.9376430472215728,2.158964057963748,cinque,G3 student B (a) s2
all,RFS (rater),478,-0.11093286781052328,-0.19613912812864795,-0.03202847319994054,lebowski,G3 student A (c) s0
all,ADE dec1-9,17389,0.16572142253642946,0.14219997769502468,0.19108700600948603,lebowski,G3 student A (c) s0
all,ADE pre_onset dec1-9,1245,0.18323930399665325,0.09514823659387402,0.27879403787916335,lebowski,G3 student A (c) s0
Pedestrians,RFS (rater),52,-0.09442831772527924,-0.18796558951977207,-0.008569794766201953,lebowski,G3 student A (c) s0
Pedestrians,ADE dec1-9,1637,0.170732634715582,0.11157517860705196,0.24444583687940283,lebowski,G3 student A (c) s0
Pedestrians,ADE pre_onset dec1-9,83,0.04917630472901635,-0.2717736058878784,0.4518744492316741,lebowski,G3 student A (c) s0
Cyclists,RFS (rater),71,-0.4873427512678927,-0.8749269135062038,-0.15619821273978687,lebowski,G3 student A (c) s0
Cyclists,ADE dec1-9,2326,0.325427490739607,0.20957754782404805,0.46495053567572225,lebowski,G3 student A (c) s0
Cyclists,ADE pre_onset dec1-9,206,0.3346556794541621,0.05893334998474437,0.7740259979274148,lebowski,G3 student A (c) s0
Cut_ins,RFS (rater),20,-0.14459122825144513,-0.5317184021214942,0.097312340563936,lebowski,G3 student A (c) s0
Cut_ins,ADE dec1-9,724,0.22132738199352808,0.12631713075885834,0.34173862067880023,lebowski,G3 student A (c) s0
Cut_ins,ADE pre_onset dec1-9,16,-0.20992605503806644,-0.49581937144866695,0.02346815183325355,lebowski,G3 student A (c) s0
FOD,RFS (rater),78,-0.10600456077577647,-0.282966266089531,0.05497814563905727,lebowski,G3 student A (c) s0
