scope,tap,vs,n_frames,routes,auc,auc_lo,auc_hi,auc_vs,delta,lo,hi
ParkingCrossingPedestrian,op-lebowski vision,op-lebowski temporal,310,6,0.5501040582726326,0.5012369199428549,0.649102631370886,0.5263475546305931,0.023756503642039517,-0.005594574182096264,0.06040958577675208
ParkingCrossingPedestrian,op-lebowski vision,L18_last,310,6,0.5501040582726326,0.5012369199428549,0.649102631370886,0.49465140478668057,0.055452653485952075,-0.05886216401795208,0.22401564775007662
ParkingCrossingPedestrian,op-lebowski hidden,op-lebowski temporal,310,6,0.5433402705515088,0.5121165890577164,0.6406250009418205,0.5263475546305931,0.01699271592091567,-0.01875457763671877,0.060261504230035554
ParkingCrossingPedestrian,op-lebowski hidden,L18_last,310,6,0.5433402705515088,0.5121165890577164,0.6406250009418205,0.49465140478668057,0.048688865764828226,-0.058715813608553415,0.22302201508261157
ParkingCrossingPedestrian,op-cinque temporal,L18_last,310,6,0.484630593132154,0.4206837534341127,0.5386167534722222,0.49465140478668057,-0.010020811654526562,-0.06261233731228351,0.01826800786218058
ParkingCrossingPedestrian,op-lebowski temporal,L18_last,310,6,0.5263475546305931,0.5033402060006472,0.5888887074160867,0.49465140478668057,0.03169614984391256,-0.05956699869078399,0.16447092736907684
ParkingCutIn,op-cinque vision,op-cinque temporal,817,8,0.592324367892205,0.5468262900583839,0.6205574940440023,0.5569814633649394,0.03534290452726563,-0.009466864669199392,0.06896852777992002
ParkingCutIn,op-cinque vision,L18_last,817,8,0.592324367892205,0.5468262900583839,0.6205574940440023,0.5751870068270788,0.0171373610651262,-0.029761791921442335,0.05664679493802016
ParkingCutIn,op-cinque hidden,op-cinque temporal,817,8,0.6076234964171694,0.5810472150051418,0.6322418984031547,0.5569814633649394,0.05064203305223003,0.02436576266523092,0.08521177338040259
ParkingCutIn,op-cinque hidden,L18_last,817,8,0.6076234964171694,0.5810472150051418,0.6322418984031547,0.5751870068270788,0.0324364895900906,-0.007724961051970841,0.06197399998832133
ParkingCutIn,op-lebowski vision,op-lebowski temporal,817,8,0.6027949524261823,0.5770164315870634,0.6379375750150807,0.5926434742744824,0.010151478151699922,-0.020131617902735877,0.04354707277833533
ParkingCutIn,op-lebowski vision,L18_last,817,8,0.6027949524261823,0.5770164315870634,0.6379375750150807,0.5751870068270788,0.02760794559910351,-0.026459784221700478,0.09396445522608048
ParkingCutIn,op-lebowski hidden,op-lebowski temporal,817,8,0.6023020604084861,0.5791290659784754,0.6156268941194325,0.5926434742744824,0.009658586134003722,-0.01872091752986064,0.03588341567191231
ParkingCutIn,op-lebowski hidden,L18_last,817,8,0.6023020604084861,0.5791290659784754,0.6156268941194325,0.5751870068270788,0.02711505358140731,-0.026378912141196798,0.07650282302747709
ParkingCutIn,op-cinque temporal,L18_last,817,8,0.5569814633649394,0.5382667820744164,0.571367207658671,0.5751870068270788,-0.01820554346213943,-0.06914280566955629,0.01679329380326826
ParkingCutIn,op-lebowski temporal,L18_last,817,8,0.5926434742744824,0.5707773359549099,0.6165451384807512,0.5751870068270788,0.01745646744740359,-0.03338883245089557,0.06515269344327887
