level,route,seed,arm,ds,rc,official_status,ticks,pre_collision_ticks,moving_ticks,collision_step,moving_full_throttle_share,moving_full_brake_share,moving_full_pedal_share,full_pedal_flip_count,full_pedal_flips_per_min,speed_p95_mps,speed_max_mps,target_overshoot_gt2_share,target_undershoot_gt2_share,moving_target_zero_share,moving_target_zero_full_brake_share,target_jump_gt5_count,target_jump_gt5_per_min,stopped_after_2s_share,longest_standstill_after_2s_s,agent_ms_p95,vehicle_collisions,emergency_yield,outside_lane
1,25378,2,D,70.0,100.0,Completed,265,264,233,,0.0,0.0,0.0,0,0.0,11.69817359883303,11.822243529130494,0.11158798283261803,0.04721030042918455,0.10300429184549356,0.0,6,27.27272727272727,0.0,0.0,121.75047580240062,0,1,0
1,25381,0,A,100.0,100.0,Completed,428,427,387,,0.6201550387596899,0.32299741602067183,0.9431524547803618,48,134.89461358313818,9.3427863683233,10.92432305407854,0.25839793281653745,0.05426356589147287,0.17829457364341086,1.0,27,75.87822014051523,0.010309278350515464,0.1,145.78904419868195,0,0,0
1,25381,0,B,100.0,100.0,Completed,440,439,400,,0.325,0.0925,0.4175,19,51.93621867881548,9.028312802828413,10.069332804248864,0.135,0.125,0.0825,0.3333333333333333,11,30.06833712984054,0.0025,0.05,146.44675130221003,0,0,0
1,25381,0,C,100.0,100.0,Completed,412,411,374,,0.0,0.0,0.0,0,0.0,8.798766545978308,9.771625205079184,0.2540106951871658,0.034759358288770054,0.19518716577540107,0.0,5,14.5985401459854,0.0,0.0,146.30629800376482,0,0,0
1,25381,0,D,100.0,100.0,Completed,412,411,374,,0.0,0.0,0.0,0,0.0,9.278477125012337,9.504692969538928,0.30213903743315507,0.0374331550802139,0.22459893048128343,0.0,13,37.95620437956204,0.0,0.0,147.68498150078813,0,0,0
1,25381,1,A,100.0,100.0,Completed,416,415,389,,0.609254498714653,0.3110539845758355,0.9203084832904884,50,144.57831325301206,9.48266719613485,10.849467927693166,0.2416452442159383,0.02313624678663239,0.15167095115681234,1.0,25,72.28915662650603,0.0026595744680851063,0.05,149.12711730066803,0,0,0
1,25381,1,B,100.0,100.0,Completed,440,439,409,,0.31784841075794623,0.08068459657701711,0.39853300733496333,17,46.469248291571745,8.988472388652154,9.797962031687689,0.13447432762836187,0.10513447432762836,0.07579462102689487,0.3548387096774194,18,49.20273348519361,0.0025,0.05,146.20462649836554,0,0,0
1,25381,1,C,100.0,100.0,Completed,412,411,374,,0.0,0.0,0.0,0,0.0,8.78792862586079,9.889396332977393,0.24064171122994651,0.034759358288770054,0.20855614973262032,0.0,3,8.75912408759124,0.0,0.0,146.56874950014753,0,0,0
1,25381,1,D,100.0,100.0,Completed,411,410,373,,0.0,0.0,0.0,0,0.0,9.370909328558186,9.54734580111844,0.29222520107238603,0.032171581769437,0.21447721179624665,0.0,8,23.414634146341463,0.0,0.0,146.21330464506173,0,0,0
1,25381,2,A,100.0,100.0,Completed,415,414,395,,0.6025316455696202,0.29620253164556964,0.8987341772151899,44,127.53623188405795,9.357168915536043,10.518768415473652,0.22278481012658227,0.060759493670886074,0.1569620253164557,1.0,25,72.46376811594202,0.0,0.0,144.90225145109434,0,0,0
1,25381,2,B,100.0,100.0,Completed,440,439,408,,0.29901960784313725,0.0661764705882353,0.36519607843137253,14,38.268792710706144,8.828298515944994,9.447058146045185,0.1323529411764706,0.08088235294117647,0.07352941176470588,0.3333333333333333,12,32.80182232346241,0.0025,0.05,145.12434949901944,0,0,0
1,25381,2,C,100.0,100.0,Completed,412,411,374,,0.0,0.0,0.0,0,0.0,8.907611466274034,9.945894796790736,0.2540106951871658,0.0374331550802139,0.18181818181818182,0.0,8,23.357664233576642,0.0,0.0,147.21632900182158,0,0,0
1,25381,2,D,100.0,100.0,Completed,410,409,372,,0.0,0.0,0.0,0,0.0,9.33678412127358,9.565958891496301,0.27956989247311825,0.02956989247311828,0.22311827956989247,0.0,13,38.14180929095354,0.0,0.0,146.86828680569306,0,0,0
1,25424,0,A,100.0,100.0,Completed,405,404,287,,0.5261324041811847,0.313588850174216,0.8397212543554007,31,92.07920792079206,11.451049207691359,13.248589698107052,0.26480836236933797,0.16376306620209058,0.24390243902439024,1.0,18,53.465346534653456,0.12876712328767123,2.0500000000000003,117.4626251007794,0,0,0
1,25424,0,B,100.0,100.0,Completed,2255,2254,308,,0.3344155844155844,0.18831168831168832,0.5227272727272727,35,18.633540372670808,7.718990333169129,12.01247775332612,0.17857142857142858,0.17207792207792208,0.14935064935064934,0.5434782608695652,20,10.64773735581189,0.7905191873589165,55.5,135.89345239815884,0,0,0
1,25424,0,C,100.0,100.0,Completed,728,727,307,,0.0,0.0,0.0,0,0.0,8.249755516602649,9.439013616756196,0.15309446254071662,0.247557003257329,0.14006514657980457,0.0,3,4.951856946354883,0.23255813953488372,4.800000000000001,117.17345679717255,0,0,0
1,25424,0,D,100.0,100.0,Completed,722,721,313,,0.0,0.0,0.0,0,0.0,8.197918616982319,9.10035769545733,0.14696485623003194,0.2523961661341853,0.1182108626198083,0.0,5,8.321775312066572,0.2404692082111437,4.55,116.83435199665837,0,0,0
