scope,judge,n,delta,lo,hi,model,arm,seed,stats
Cut_ins,ADE pre_onset dec1-9,16,0.23919308185577393,-0.05235910415649414,0.649970713414644,cinque,A,2,carla
FOD,RFS (rater),78,-0.14529647000799842,-0.3230312511343631,-0.008004853486981935,cinque,A,2,carla
FOD,ADE dec1-9,3175,0.3513176143169403,0.27746808730520145,0.4345861821481538,cinque,A,2,carla
FOD,ADE pre_onset dec1-9,252,0.6130656599998474,0.22896133127110477,1.096567227756337,cinque,A,2,carla
Intersections,RFS (rater),116,-0.060661288826471656,-0.21798399954303793,0.08300343246279251,cinque,A,2,carla
Intersections,ADE dec1-9,4299,0.39679211378097534,0.3184549292480217,0.48417399771352354,cinque,A,2,carla
Intersections,ADE pre_onset dec1-9,301,0.07579740881919861,-0.016759678453935268,0.19426000327643866,cinque,A,2,carla
all,RFS (rater),478,-0.030679171762954066,-0.08514122072490206,0.022366229879848966,cinque,A,2,wod-train
all,ADE dec1-9,17389,0.20863007009029388,0.18475398289908998,0.233387160442427,cinque,A,2,wod-train
all,ADE pre_onset dec1-9,1245,0.24793894588947296,0.15007256198699107,0.3601738699915771,cinque,A,2,wod-train
Pedestrians,RFS (rater),52,-0.04385205930613298,-0.23127281511823714,0.12725459200791145,cinque,A,2,wod-train
Pedestrians,ADE dec1-9,1637,0.14377857744693756,0.08158062052726231,0.21875384834000164,cinque,A,2,wod-train
Pedestrians,ADE pre_onset dec1-9,83,0.33895280957221985,0.029969171295637517,0.9576911210049209,cinque,A,2,wod-train
Cyclists,RFS (rater),71,-0.03947399446984737,-0.19445470148339586,0.0743841913746883,cinque,A,2,wod-train
Cyclists,ADE dec1-9,2326,0.17538423836231232,0.11915258504416892,0.23833195515698183,cinque,A,2,wod-train
Cyclists,ADE pre_onset dec1-9,206,0.08365422487258911,-0.053244308834004536,0.262128280113292,cinque,A,2,wod-train
Cut_ins,RFS (rater),20,-0.08844915676200667,-0.40345016687887697,0.2932840289271438,cinque,A,2,wod-train
Cut_ins,ADE dec1-9,724,0.14346472918987274,0.07972039204678155,0.22725344203087197,cinque,A,2,wod-train
Cut_ins,ADE pre_onset dec1-9,16,0.19577853381633759,-0.1071431417214243,0.5669241327988473,cinque,A,2,wod-train
FOD,RFS (rater),78,-0.032241658639315746,-0.11206185683170708,0.033998201252372046,cinque,A,2,wod-train
FOD,ADE dec1-9,3175,0.23869091272354126,0.18870992862190836,0.29535038168612326,cinque,A,2,wod-train
FOD,ADE pre_onset dec1-9,252,0.4244209825992584,0.15779126122443363,0.7510055134257257,cinque,A,2,wod-train
Intersections,RFS (rater),116,0.010197379789976483,-0.06791612660007422,0.09185432727505032,cinque,A,2,wod-train
Intersections,ADE dec1-9,4299,0.27141526341438293,0.2164139416148108,0.33336160793432024,cinque,A,2,wod-train
Intersections,ADE pre_onset dec1-9,301,0.07876008003950119,-0.014251778325345138,0.21640435081786888,cinque,A,2,wod-train
all,RFS (rater),478,-0.029134411573409225,-0.11040893839480827,0.051689014379014055,cinque,B,0,carla
all,ADE dec1-9,17389,0.19542533159255981,0.17023949879626554,0.2224137772972651,cinque,B,0,carla
all,ADE pre_onset dec1-9,1245,0.2428962141275406,0.1509882278460445,0.3457596530045511,cinque,B,0,carla
Pedestrians,RFS (rater),52,-0.025089488578886494,-0.32522222004039947,0.25956631868850577,cinque,B,0,carla
Pedestrians,ADE dec1-9,1637,0.1722106784582138,0.1071314230120292,0.24777806726756002,cinque,B,0,carla
Pedestrians,ADE pre_onset dec1-9,83,0.27402612566947937,-0.0489399301357271,0.800748702685767,cinque,B,0,carla
Cyclists,RFS (rater),71,-0.05437333473760511,-0.2703162448948534,0.12994009104963522,cinque,B,0,carla
Cyclists,ADE dec1-9,2326,0.15788929164409637,0.11641845259619149,0.20174459122058983,cinque,B,0,carla
Cyclists,ADE pre_onset dec1-9,206,0.22496452927589417,0.05328626923022068,0.5002293910130989,cinque,B,0,carla
Cut_ins,RFS (rater),20,-0.00839584215304785,-0.22973809589848015,0.25416332225726557,cinque,B,0,carla
Cut_ins,ADE dec1-9,724,0.14325158298015594,0.088910703932108,0.21271146084481546,cinque,B,0,carla
Cut_ins,ADE pre_onset dec1-9,16,0.079372838139534,-0.15853868212018693,0.3010971405926873,cinque,B,0,carla
FOD,RFS (rater),78,-0.09228799012461994,-0.22235542775229108,0.023261325775149173,cinque,B,0,carla
FOD,ADE dec1-9,3175,0.20357371866703033,0.1618066344031413,0.24998141832168203,cinque,B,0,carla
FOD,ADE pre_onset dec1-9,252,0.4511731266975403,0.15526183728832335,0.7830818790205932,cinque,B,0,carla
Intersections,RFS (rater),116,-0.04048182184058417,-0.2548666070874319,0.16455811661318115,cinque,B,0,carla
Intersections,ADE dec1-9,4299,0.26948416233062744,0.19944975506721366,0.35448185907066154,cinque,B,0,carla
Intersections,ADE pre_onset dec1-9,301,0.0897674709558487,-0.000357130952653483,0.19792053882960042,cinque,B,0,carla
all,RFS (rater),478,-0.019438882141485092,-0.10209572008465939,0.06329781822252041,cinque,B,0,wod-train
all,ADE dec1-9,17389,0.2080131322145462,0.18412364368694104,0.23240266196235723,cinque,B,0,wod-train
all,ADE pre_onset dec1-9,1245,0.25273609161376953,0.16820009521222598,0.34678034660152635,cinque,B,0,wod-train
Pedestrians,RFS (rater),52,0.187320011049124,-0.10413190853959947,0.49282433295957123,cinque,B,0,wod-train
Pedestrians,ADE dec1-9,1637,0.17486336827278137,0.10518442346084905,0.2585354763537479,cinque,B,0,wod-train
Pedestrians,ADE pre_onset dec1-9,83,0.47622179985046387,0.07727566378776346,1.2364287430193626,cinque,B,0,wod-train
Cyclists,RFS (rater),71,0.035125386032448434,-0.1892623716119976,0.2557327662143828,cinque,B,0,wod-train
Cyclists,ADE dec1-9,2326,0.23192794620990753,0.1610826544630407,0.31272624276169236,cinque,B,0,wod-train
Cyclists,ADE pre_onset dec1-9,206,0.21944928169250488,0.06125555941666384,0.466132840109734,cinque,B,0,wod-train
Cut_ins,RFS (rater),20,-0.003228712034637926,-0.3871790921819151,0.38828922088755824,cinque,B,0,wod-train
Cut_ins,ADE dec1-9,724,0.17935368418693542,0.11162394302394767,0.2579371564499144,cinque,B,0,wod-train
Cut_ins,ADE pre_onset dec1-9,16,0.20479094982147217,-0.21247464418411255,0.529330849647522,cinque,B,0,wod-train
FOD,RFS (rater),78,-0.07483162774508834,-0.20056263832694957,0.03772870025301069,cinque,B,0,wod-train
FOD,ADE dec1-9,3175,0.2032541036605835,0.16657100097023478,0.24197441037015138,cinque,B,0,wod-train
FOD,ADE pre_onset dec1-9,252,0.35502636432647705,0.1488264788038715,0.5764811599895926,cinque,B,0,wod-train
Intersections,RFS (rater),116,-0.09672390809626502,-0.2758710170590609,0.07266133857672584,cinque,B,0,wod-train
Intersections,ADE dec1-9,4299,0.25613802671432495,0.19880387042288822,0.3216313500817349,cinque,B,0,wod-train
Intersections,ADE pre_onset dec1-9,301,0.08930814266204834,-0.011913497552297174,0.21727454707805868,cinque,B,0,wod-train
all,RFS (rater),478,-0.0426259296103215,-0.12976643275027505,0.04329376517087849,cinque,B,1,carla
all,ADE dec1-9,17389,0.19349829852581024,0.169228282657277,0.2186711075971129,cinque,B,1,carla
all,ADE pre_onset dec1-9,1245,0.2601306736469269,0.16191259935131744,0.37472499391398345,cinque,B,1,carla
Pedestrians,RFS (rater),52,-0.020854121009458878,-0.3084069737787481,0.2680347260051818,cinque,B,1,carla
Pedestrians,ADE dec1-9,1637,0.1645416021347046,0.10069417383849984,0.2412443667551259,cinque,B,1,carla
Pedestrians,ADE pre_onset dec1-9,83,0.22186246514320374,-0.022562150702353796,0.5992965993217446,cinque,B,1,carla
Cyclists,RFS (rater),71,-0.04658679049911826,-0.27833180674212443,0.14578500042270254,cinque,B,1,carla
Cyclists,ADE dec1-9,2326,0.15582334995269775,0.11714928706460098,0.1962664649530566,cinque,B,1,carla
Cyclists,ADE pre_onset dec1-9,206,0.16796188056468964,0.014326251676337002,0.3858396803098787,cinque,B,1,carla
Cut_ins,RFS (rater),20,0.11445603907186297,-0.1592887136565385,0.4640072721520317,cinque,B,1,carla
Cut_ins,ADE dec1-9,724,0.14126552641391754,0.09046622632411232,0.20665699003989502,cinque,B,1,carla
Cut_ins,ADE pre_onset dec1-9,16,0.0805155485868454,-0.1097750152860369,0.3012219918401618,cinque,B,1,carla
FOD,RFS (rater),78,-0.11418767840048297,-0.2506766787998573,0.008469884204322466,cinque,B,1,carla
FOD,ADE dec1-9,3175,0.2099192589521408,0.1624815652811137,0.26421442299614223,cinque,B,1,carla
FOD,ADE pre_onset dec1-9,252,0.5702517628669739,0.21913120197020022,0.9651788358338914,cinque,B,1,carla
Intersections,RFS (rater),116,-0.038351218646311996,-0.24987554590300623,0.1707198508953887,cinque,B,1,carla
Intersections,ADE dec1-9,4299,0.25993582606315613,0.19671262515983942,0.33508247982999373,cinque,B,1,carla
Intersections,ADE pre_onset dec1-9,301,0.11285823583602905,0.01400460474904225,0.22982108466255943,cinque,B,1,carla
all,RFS (rater),478,-0.02320670356712827,-0.10521238862959417,0.05934248639432414,cinque,B,1,wod-train
all,ADE dec1-9,17389,0.20905698835849762,0.18543533242447624,0.23367303738060896,cinque,B,1,wod-train
all,ADE pre_onset dec1-9,1245,0.25642603635787964,0.172392600375487,0.349060283006825,cinque,B,1,wod-train
Pedestrians,RFS (rater),52,0.1278818247530595,-0.14927461395158398,0.4183549491227083,cinque,B,1,wod-train
Pedestrians,ADE dec1-9,1637,0.1724015176296234,0.10372799355997518,0.2538218435966971,cinque,B,1,wod-train
Pedestrians,ADE pre_onset dec1-9,83,0.40086960792541504,0.09701421543805286,0.9562936106260025,cinque,B,1,wod-train
Cyclists,RFS (rater),71,0.025632129652033337,-0.21771547700866098,0.2607723309611798,cinque,B,1,wod-train
Cyclists,ADE dec1-9,2326,0.23961509764194489,0.16970292162984663,0.32223244441674814,cinque,B,1,wod-train
Cyclists,ADE pre_onset dec1-9,206,0.1868273764848709,0.052467433440957896,0.3800856461027112,cinque,B,1,wod-train
Cut_ins,RFS (rater),20,0.21639079403707567,-0.14244091639901377,0.617850225119251,cinque,B,1,wod-train
Cut_ins,ADE dec1-9,724,0.1888582408428192,0.12002853549323816,0.26791487087204374,cinque,B,1,wod-train
Cut_ins,ADE pre_onset dec1-9,16,0.22348162531852722,-0.1858672755105155,0.5921505058512968,cinque,B,1,wod-train
FOD,RFS (rater),78,-0.11655683607133387,-0.25173451294583143,0.006918258549281394,cinque,B,1,wod-train
FOD,ADE dec1-9,3175,0.2016739547252655,0.16204419220501043,0.24450351908392995,cinque,B,1,wod-train
FOD,ADE pre_onset dec1-9,252,0.4135412573814392,0.16767205616525774,0.6795088781818223,cinque,B,1,wod-train
Intersections,RFS (rater),116,-0.03277910300020309,-0.19098043350544608,0.11985909786893875,cinque,B,1,wod-train
Intersections,ADE dec1-9,4299,0.2551214098930359,0.19838563202692827,0.32021088516136476,cinque,B,1,wod-train
Intersections,ADE pre_onset dec1-9,301,0.11346493661403656,0.0025828772979953653,0.25432400004843164,cinque,B,1,wod-train
all,RFS (rater),478,-0.04793952172874319,-0.12515571951058857,0.028472440278387374,cinque,B,2,carla
all,ADE dec1-9,17389,0.19668886065483093,0.1736261209613205,0.2209755384415168,cinque,B,2,carla
