examinee,vs,scope,n,delta,lo,hi
G2 M-C uniform s0 [lebowski],CARLA M-C pair [lebowski],oncoming,657,0.0350076103500761,0.004516893954356921,0.06839064083080039
G2 M-C uniform s0 [lebowski],CARLA M-C pair [lebowski],static,959,-0.020855057351407715,-0.04885909346846847,0.005390309155111197
G2 student A s0 [lebowski],CARLA M-C pair [lebowski],pooled,1832,0.019650655021834062,-0.005710879733871787,0.04361801844627304
G2 student A s0 [lebowski],CARLA M-C pair [lebowski],cutin,216,0.05092592592592592,-0.013455958444088225,0.11650703121598675
G2 student A s0 [lebowski],CARLA M-C pair [lebowski],oncoming,657,0.0334855403348554,0.0014923158687275787,0.06716604744517754
G2 student A s0 [lebowski],CARLA M-C pair [lebowski],static,959,0.0031282586027111575,-0.024059207211548993,0.0277630456281874
G2 student B s0 [lebowski],CARLA M-C pair [lebowski],pooled,1832,0.024017467248908297,0.0005175159235668797,0.046219325050594395
G2 student B s0 [lebowski],CARLA M-C pair [lebowski],cutin,216,0.041666666666666664,-0.013457501019160212,0.09852390203288697
G2 student B s0 [lebowski],CARLA M-C pair [lebowski],oncoming,657,0.045662100456621,0.014792353141688443,0.07834327279298814
G2 student B s0 [lebowski],CARLA M-C pair [lebowski],static,959,0.005213764337851929,-0.021808557242990655,0.029903907012669324
G2 M-C pair s0 x g2 [lebowski],CARLA M-C pair [lebowski],pooled,1832,0.05294759825327511,0.037498777249860255,0.06925533037939853
G2 M-C pair s0 x g2 [lebowski],CARLA M-C pair [lebowski],cutin,216,0.09259259259259259,0.04060742214295514,0.14798621491446604
G2 M-C pair s0 x g2 [lebowski],CARLA M-C pair [lebowski],oncoming,657,0.0639269406392694,0.0411507532009889,0.08862680933861078
G2 M-C pair s0 x g2 [lebowski],CARLA M-C pair [lebowski],static,959,0.0364963503649635,0.018825516053549526,0.055556985925163054
G2 student A s0 x g2 [lebowski],CARLA M-C pair [lebowski],pooled,1832,0.05021834061135371,0.03503928792950182,0.0654434630910945
G2 student A s0 x g2 [lebowski],CARLA M-C pair [lebowski],cutin,216,0.09259259259259259,0.039600703491401774,0.14594134477825454
G2 student A s0 x g2 [lebowski],CARLA M-C pair [lebowski],oncoming,657,0.0517503805175038,0.02959157429544302,0.07458197434224831
G2 student A s0 x g2 [lebowski],CARLA M-C pair [lebowski],static,959,0.03962460896767466,0.02151639344262295,0.05714588698682016
G2 M-C pair s1 [lebowski],CARLA M-C pair [lebowski],pooled,1832,0.007096069868995633,-0.021034642873936145,0.033482353633750475
G2 M-C pair s1 [lebowski],CARLA M-C pair [lebowski],cutin,216,0.05092592592592592,-0.03212509645888708,0.14027149321266968
G2 M-C pair s1 [lebowski],CARLA M-C pair [lebowski],oncoming,657,0.0547945205479452,0.021083544705136334,0.08736541671523776
G2 M-C pair s1 [lebowski],CARLA M-C pair [lebowski],static,959,-0.035453597497393116,-0.06310801348474496,-0.008144368858654676
G2 M-C hard s1 [lebowski],CARLA M-C pair [lebowski],pooled,1832,-0.06604803493449782,-0.09861808226650026,-0.03277515175861455
G2 M-C hard s1 [lebowski],CARLA M-C pair [lebowski],cutin,216,0.08796296296296297,0.00956599259727363,0.16833426300376508
G2 M-C hard s1 [lebowski],CARLA M-C pair [lebowski],oncoming,657,-0.045662100456621,-0.08047990301843984,-0.009447340209234417
G2 M-C hard s1 [lebowski],CARLA M-C pair [lebowski],static,959,-0.11470281543274244,-0.1465986038394415,-0.08076300001579384
G2 M-C uniform s1 [lebowski],CARLA M-C pair [lebowski],pooled,1832,-0.012554585152838428,-0.037822898257564526,0.015480275951180818
G2 M-C uniform s1 [lebowski],CARLA M-C pair [lebowski],cutin,216,0.11574074074074074,0.052401226866292366,0.19523809523809524
G2 M-C uniform s1 [lebowski],CARLA M-C pair [lebowski],oncoming,657,0.0,-0.026717308699329992,0.02706868828698251
G2 M-C uniform s1 [lebowski],CARLA M-C pair [lebowski],static,959,-0.05005213764337852,-0.0776530183732672,-0.02385462115028783
G2 student A s1 [lebowski],CARLA M-C pair [lebowski],pooled,1832,0.018558951965065504,-0.0032285524932583755,0.03980100266688847
G2 student A s1 [lebowski],CARLA M-C pair [lebowski],cutin,216,0.06481481481481481,0.0,0.12964975845410617
G2 student A s1 [lebowski],CARLA M-C pair [lebowski],oncoming,657,0.0182648401826484,-0.013072132922936616,0.046012269938650305
G2 student A s1 [lebowski],CARLA M-C pair [lebowski],static,959,0.008342022940563087,-0.013446797555230757,0.029774892318471413
G2 student B s1 [lebowski],CARLA M-C pair [lebowski],pooled,1832,0.03275109170305677,0.011436051693404633,0.053491508858356684
G2 student B s1 [lebowski],CARLA M-C pair [lebowski],cutin,216,0.0787037037037037,0.01315645828545162,0.14873303167420807
G2 student B s1 [lebowski],CARLA M-C pair [lebowski],oncoming,657,0.0365296803652968,0.006323093077471437,0.06537890044576523
G2 student B s1 [lebowski],CARLA M-C pair [lebowski],static,959,0.01981230448383733,-0.003134960363702014,0.043295758721767406
G2 M-C pair s1 x g2 [lebowski],CARLA M-C pair [lebowski],pooled,1832,0.05895196506550218,0.042495701324697606,0.0760600830862367
G2 M-C pair s1 x g2 [lebowski],CARLA M-C pair [lebowski],cutin,216,0.1111111111111111,0.052374746106973596,0.17143207282913164
G2 M-C pair s1 x g2 [lebowski],CARLA M-C pair [lebowski],oncoming,657,0.0715372907153729,0.04885219930767756,0.09516058510215437
G2 M-C pair s1 x g2 [lebowski],CARLA M-C pair [lebowski],static,959,0.03858185610010428,0.02070286432934654,0.057692812172088145
G2 student A s1 x g2 [lebowski],CARLA M-C pair [lebowski],pooled,1832,0.056768558951965066,0.04133943415160184,0.07249618145858899
G2 student A s1 x g2 [lebowski],CARLA M-C pair [lebowski],cutin,216,0.11574074074074074,0.0502283105022831,0.18099547511312217
G2 student A s1 x g2 [lebowski],CARLA M-C pair [lebowski],oncoming,657,0.0547945205479452,0.034023668639053255,0.07575813859246251
G2 student A s1 x g2 [lebowski],CARLA M-C pair [lebowski],static,959,0.04483837330552659,0.02680205761752895,0.06410357518401681
G2 M-C pair s2 [lebowski],CARLA M-C pair [lebowski],pooled,1832,-0.012008733624454149,-0.03861175723479271,0.01406453015069596
G2 M-C pair s2 [lebowski],CARLA M-C pair [lebowski],cutin,216,0.05555555555555555,-0.02620956834254357,0.14423196517412934
G2 M-C pair s2 [lebowski],CARLA M-C pair [lebowski],oncoming,657,0.030441400304414,-0.004445106805762543,0.06269592476489028
G2 M-C pair s2 [lebowski],CARLA M-C pair [lebowski],static,959,-0.056308654848800835,-0.08854565403907075,-0.02811918904958681
G2 M-C hard s2 [lebowski],CARLA M-C pair [lebowski],pooled,1832,-0.03111353711790393,-0.061281489868835394,-0.0016093344194986192
G2 M-C hard s2 [lebowski],CARLA M-C pair [lebowski],cutin,216,0.06018518518518518,0.009253003003003003,0.10666990291262135
G2 M-C hard s2 [lebowski],CARLA M-C pair [lebowski],oncoming,657,-0.0045662100456621,-0.04117759317467445,0.03390621293196611
G2 M-C hard s2 [lebowski],CARLA M-C pair [lebowski],static,959,-0.06986444212721585,-0.09979251131908662,-0.03956484099140529
G2 M-C uniform s2 [lebowski],CARLA M-C pair [lebowski],pooled,1832,0.018558951965065504,-0.006725270312903319,0.044713457401481416
G2 M-C uniform s2 [lebowski],CARLA M-C pair [lebowski],cutin,216,0.09259259259259259,0.04739274133200299,0.1448108318217154
G2 M-C uniform s2 [lebowski],CARLA M-C pair [lebowski],oncoming,657,0.045662100456621,0.01631926764173968,0.0776285290678249
G2 M-C uniform s2 [lebowski],CARLA M-C pair [lebowski],static,959,-0.016684045881126174,-0.043524444778879026,0.010256673511293633
G2 student A s2 [lebowski],CARLA M-C pair [lebowski],pooled,1832,0.01910480349344978,-0.0010877561509754408,0.038611563243916174
G2 student A s2 [lebowski],CARLA M-C pair [lebowski],cutin,216,0.06481481481481481,0.004738777608870607,0.1210796303845631
G2 student A s2 [lebowski],CARLA M-C pair [lebowski],oncoming,657,0.0273972602739726,-0.0046741850025756124,0.05760709010339734
G2 student A s2 [lebowski],CARLA M-C pair [lebowski],static,959,0.0031282586027111575,-0.016808050933756008,0.023711951953868902
G2 student B s2 [lebowski],CARLA M-C pair [lebowski],pooled,1832,-0.009825327510917031,-0.03396485589881816,0.014558692507009093
G2 student B s2 [lebowski],CARLA M-C pair [lebowski],cutin,216,0.041666666666666664,-0.01827118214104515,0.0980512894813097
G2 student B s2 [lebowski],CARLA M-C pair [lebowski],oncoming,657,0.0060882800608828,-0.027567201360611426,0.03770810210876803
G2 student B s2 [lebowski],CARLA M-C pair [lebowski],static,959,-0.03232533889468196,-0.06144230682818987,-0.0040631901966753725
G2 M-C pair s2 x g2 [lebowski],CARLA M-C pair [lebowski],pooled,1832,0.05076419213973799,0.035434689887886055,0.066479517395313
G2 M-C pair s2 x g2 [lebowski],CARLA M-C pair [lebowski],cutin,216,0.08333333333333333,0.0319634703196347,0.13478857090442117
G2 M-C pair s2 x g2 [lebowski],CARLA M-C pair [lebowski],oncoming,657,0.0639269406392694,0.04314198091932497,0.08567198837858338
G2 M-C pair s2 x g2 [lebowski],CARLA M-C pair [lebowski],static,959,0.03441084462982273,0.01678864712779461,0.052912858321129776
G2 student A s2 x g2 [lebowski],CARLA M-C pair [lebowski],pooled,1832,0.048580786026200876,0.034745693495693494,0.06351017643630995
G2 student A s2 x g2 [lebowski],CARLA M-C pair [lebowski],cutin,216,0.09722222222222222,0.04305199664391483,0.1520762372270086
G2 student A s2 x g2 [lebowski],CARLA M-C pair [lebowski],oncoming,657,0.045662100456621,0.02143624671053398,0.07028284905863318
G2 student A s2 x g2 [lebowski],CARLA M-C pair [lebowski],static,959,0.03962460896767466,0.022725517273663516,0.05759313225108937
G1c g3 x M-C [lebowski],CARLA M-C pair [lebowski],pooled,1832,0.027292576419213975,0.01198291052341607,0.043123736514758024
G1c g3 x M-C [lebowski],CARLA M-C pair [lebowski],cutin,216,0.05555555555555555,0.014147637101040382,0.0958904109589041
G1c g3 x M-C [lebowski],CARLA M-C pair [lebowski],oncoming,657,0.0350076103500761,0.013595166163141994,0.059705961211904524
G1c g3 x M-C [lebowski],CARLA M-C pair [lebowski],static,959,0.01564129301355579,-0.004149485313443897,0.03703894616265749
G1c g3 x const [lebowski],CARLA M-C pair [lebowski],pooled,1832,0.024017467248908297,0.01002213228431945,0.03840267120306689
G1c g3 x const [lebowski],CARLA M-C pair [lebowski],cutin,216,0.06018518518518518,0.022930567139282737,0.0964944063056191
G1c g3 x const [lebowski],CARLA M-C pair [lebowski],oncoming,657,0.0182648401826484,-0.006154320987654321,0.04425447050381976
G1c g3 x const [lebowski],CARLA M-C pair [lebowski],static,959,0.01981230448383733,0.003084560464078536,0.0382241286846086
G1c g3 x const2d [lebowski],CARLA M-C pair [lebowski],pooled,1832,0.024017467248908297,0.01002213228431945,0.03840267120306689
G1c g3 x const2d [lebowski],CARLA M-C pair [lebowski],cutin,216,0.06018518518518518,0.022930567139282737,0.0964944063056191
G1c g3 x const2d [lebowski],CARLA M-C pair [lebowski],oncoming,657,0.0182648401826484,-0.006154320987654321,0.04425447050381976
G1c g3 x const2d [lebowski],CARLA M-C pair [lebowski],static,959,0.01981230448383733,0.003084560464078536,0.0382241286846086
