examinee,scope,tau_model,n_reactive,routes_reactive,pairs_reactive,flip_rate,flip_lo,flip_hi,any_direction_rate,wrong_direction_rate,n_nonreactive,false_flip_nonreactive,false_flip_null_insample,false_flip_null_oos,n_null,flip_rate_family_equal
G2 M-C hard s0 [cinque],cutin,2.09327903985977,216,27,27,0.7129629629629629,0.6220065938251327,0.7965386308606648,0.7824074074074074,0.06944444444444445,398,0.2185929648241206,,,,
G2 M-C hard s0 [cinque],oncoming,2.09327903985977,657,60,60,0.5844748858447488,0.5301072270874089,0.6407925538792371,0.6179604261796042,0.0334855403348554,558,0.034050179211469536,,,,
G2 M-C hard s0 [cinque],static,2.09327903985977,959,65,65,0.7059436913451512,0.6573053762404856,0.753639792011885,0.7372262773722628,0.03128258602711158,771,0.09208819714656291,,,,
G2 M-C uniform s0 [cinque],pooled,1.5291729211807246,1832,65,65,0.6899563318777293,0.6453180125173397,0.7331558121093114,0.7292576419213974,0.039301310043668124,1727,0.1013317892298784,0.050505050505050504,0.05176767676767677,792.0,0.6908089393882482
G2 M-C uniform s0 [cinque],cutin,1.5291729211807246,216,27,27,0.7268518518518519,0.6481274801587301,0.8051976784277669,0.8009259259259259,0.07407407407407407,398,0.19597989949748743,,,,
G2 M-C uniform s0 [cinque],oncoming,1.5291729211807246,657,60,60,0.6073059360730594,0.55172027215092,0.6636370461370462,0.634703196347032,0.0273972602739726,558,0.03225806451612903,,,,
G2 M-C uniform s0 [cinque],static,1.5291729211807246,959,65,65,0.7382690302398331,0.6896817172065738,0.7833466907962771,0.7778936392075079,0.03962460896767466,771,0.10246433203631647,,,,
G2 student A s0 [cinque],pooled,1.4393551766872401,1832,65,65,0.6495633187772926,0.6003072786300606,0.6988272534092517,0.74235807860262,0.0927947598253275,1727,0.07932831499710481,0.050505050505050504,0.04797979797979798,792.0,0.6343928658280557
G2 student A s0 [cinque],cutin,1.4393551766872401,216,27,27,0.6203703703703703,0.5162680206250658,0.7156150758645025,0.8009259259259259,0.18055555555555555,398,0.12562814070351758,,,,
G2 student A s0 [cinque],oncoming,1.4393551766872401,657,60,60,0.5768645357686454,0.5193598076417327,0.634593637596226,0.6575342465753424,0.0806697108066971,558,0.025089605734767026,,,,
G2 student A s0 [cinque],static,1.4393551766872401,959,65,65,0.7059436913451512,0.6534425931124015,0.7560469055526501,0.7872784150156413,0.08133472367049009,771,0.0946822308690013,,,,
G2 student B s0 [cinque],pooled,1.302914285659789,1832,65,65,0.6615720524017468,0.6103954739214855,0.7110518482598814,0.7510917030567685,0.08951965065502183,1727,0.08859293572669369,0.050505050505050504,0.05303030303030303,792.0,0.6437972163982896
G2 student B s0 [cinque],cutin,1.302914285659789,216,27,27,0.6203703703703703,0.5096130952380952,0.7205372328200413,0.7916666666666666,0.1712962962962963,398,0.15326633165829145,,,,
G2 student B s0 [cinque],oncoming,1.302914285659789,657,60,60,0.593607305936073,0.5357090025359256,0.6531531531531531,0.6757990867579908,0.0821917808219178,558,0.01971326164874552,,,,
G2 student B s0 [cinque],static,1.302914285659789,959,65,65,0.7174139728884255,0.6676870781037448,0.7668858581458514,0.7935349322210636,0.07612095933263817,771,0.10505836575875487,,,,
G2 M-C pair s0 x g2 [cinque],pooled,0.7032956600189203,1832,65,65,0.7177947598253275,0.6741440729428015,0.7601388179825219,0.8100436681222707,0.09224890829694324,1727,0.15286624203821655,0.050505050505050504,0.06313131313131312,792.0,0.7073507816766824
G2 M-C pair s0 x g2 [cinque],cutin,0.7032956600189203,216,27,27,0.7037037037037037,0.6308336402559735,0.7772517233950883,0.8564814814814815,0.1527777777777778,398,0.2185929648241206,,,,
G2 M-C pair s0 x g2 [cinque],oncoming,0.7032956600189203,657,60,60,0.6529680365296804,0.6014963768938963,0.7061615330448061,0.730593607305936,0.0776255707762557,558,0.06093189964157706,,,,
G2 M-C pair s0 x g2 [cinque],static,0.7032956600189203,959,65,65,0.7653806047966631,0.7135466428067014,0.8140862128433463,0.8540145985401459,0.0886339937434828,771,0.185473411154345,,,,
G2 student A s0 x g2 [cinque],pooled,0.7781142473220816,1832,65,65,0.6986899563318777,0.6512750791974657,0.744312990645893,0.7936681222707423,0.09497816593886463,1727,0.1372321945570353,0.050505050505050504,0.053030303030303025,792.0,0.6778021492383388
G2 student A s0 x g2 [cinque],cutin,0.7781142473220816,216,27,27,0.6481481481481481,0.5476101634683724,0.7454585326953748,0.8101851851851852,0.16203703703703703,398,0.1708542713567839,,,,
G2 student A s0 x g2 [cinque],oncoming,0.7781142473220816,657,60,60,0.624048706240487,0.5669621530937216,0.6800015455950541,0.7047184170471842,0.0806697108066971,558,0.03763440860215054,,,,
G2 student A s0 x g2 [cinque],static,0.7781142473220816,959,65,65,0.7612095933263816,0.707391602723441,0.8110681831963201,0.8508863399374348,0.08967674661105318,771,0.191958495460441,,,,
G2 M-C pair s1 [cinque],pooled,1.5500187873840328,1832,65,65,0.6430131004366813,0.5940824632697719,0.6901469126040288,0.7358078602620087,0.0927947598253275,1727,0.08396062536189924,0.050505050505050504,0.050505050505050504,792.0,0.6431367445266055
G2 M-C pair s1 [cinque],cutin,1.5500187873840328,216,27,27,0.6666666666666666,0.5797085417468257,0.755656108597285,0.8425925925925926,0.17592592592592593,398,0.17587939698492464,,,,
G2 M-C pair s1 [cinque],oncoming,1.5500187873840328,657,60,60,0.5859969558599696,0.5293145940631668,0.6413318657127131,0.6727549467275494,0.0867579908675799,558,0.044802867383512544,,,,
G2 M-C pair s1 [cinque],static,1.5500187873840328,959,65,65,0.6767466110531803,0.6213787505454171,0.7260416666666667,0.7549530761209593,0.07820646506777894,771,0.0648508430609598,,,,
