scope,n,activation,lo,hi,delta_mag_median_m,model,head,seed,stats,gate,tau
Cut_ins,885,0.17966101694915254,0.10947996744026381,0.25647071665383925,2.6662912368774414,cinque,M-C pair,1,i3,g2,1.5500187873840328
FOD,3561,0.08536927829261444,0.055352399250153894,0.11864885663636007,1.2632012367248535,cinque,M-C pair,1,i3,g2,1.5500187873840328
Intersections,4772,0.06559094719195306,0.04764707422644754,0.08574431918226433,1.3874883651733398,cinque,M-C pair,1,i3,g2,1.5500187873840328
straight_yaw,11597,0.8613434508924722,0.8484353315525556,0.8736033077183865,12.514492988586426,cinque,M-C hard,1,i3,none,2.533728551864623
pre_onset,1458,0.864883401920439,0.8225466852244654,0.9019474897052006,13.428810119628906,cinque,M-C hard,1,i3,none,2.533728551864623
all,19663,0.8584651375680211,0.8478760598027265,0.8685796551850691,12.827201843261719,cinque,M-C hard,1,i3,none,2.533728551864623
Pedestrians,1831,0.8263244128891316,0.7940443383227317,0.8553684704896317,12.28072452545166,cinque,M-C hard,1,i3,none,2.533728551864623
Cyclists,2830,0.7936395759717314,0.7648710899875619,0.8218073486668674,11.59177017211914,cinque,M-C hard,1,i3,none,2.533728551864623
Cut_ins,885,0.8621468926553673,0.8259302609932863,0.8973220722112375,12.761597633361816,cinque,M-C hard,1,i3,none,2.533728551864623
FOD,3561,0.8831788823364224,0.855108577851346,0.9082489854573791,13.729372024536133,cinque,M-C hard,1,i3,none,2.533728551864623
Intersections,4772,0.8778290025146689,0.861205547899453,0.8941737601368993,12.896199226379395,cinque,M-C hard,1,i3,none,2.533728551864623
straight_yaw,11597,0.9478313356902647,0.9398558075260202,0.9551170989572304,10.86436653137207,cinque,M-C uniform,1,i3,none,1.804687213897704
pre_onset,1458,0.9499314128943759,0.9235368262795124,0.9716798667260553,11.599860191345215,cinque,M-C uniform,1,i3,none,1.804687213897704
all,19663,0.9448202207191171,0.9387868187901129,0.9505146435917631,11.127477645874023,cinque,M-C uniform,1,i3,none,1.804687213897704
Pedestrians,1831,0.9339158929546696,0.9147959110241679,0.9510368893518711,10.602968215942383,cinque,M-C uniform,1,i3,none,1.804687213897704
Cyclists,2830,0.9120141342756184,0.8930199017784224,0.9293007480699683,10.10115909576416,cinque,M-C uniform,1,i3,none,1.804687213897704
Cut_ins,885,0.9175141242937853,0.8898302547447478,0.9429779404953779,10.643159866333008,cinque,M-C uniform,1,i3,none,1.804687213897704
FOD,3561,0.9528222409435552,0.9396193369672058,0.9649503184815826,11.840917587280273,cinque,M-C uniform,1,i3,none,1.804687213897704
Intersections,4772,0.9557837384744342,0.9447932058255756,0.9659440324943753,11.302308082580566,cinque,M-C uniform,1,i3,none,1.804687213897704
straight_yaw,11597,0.07407088040010347,0.06045059385140253,0.08900579033244137,0.2835066020488739,cinque,student A,1,i3,none,1.0257590532302852
pre_onset,1458,0.039780521262002745,0.018867311535302266,0.06588092350573109,0.27689051628112793,cinque,student A,1,i3,none,1.0257590532302852
all,19663,0.07470884402176677,0.06494650254170287,0.08525392646286103,0.32495546340942383,cinque,student A,1,i3,none,1.0257590532302852
Pedestrians,1831,0.0764609503003823,0.052300659667177764,0.10280978553988417,0.2984154224395752,cinque,student A,1,i3,none,1.0257590532302852
Cyclists,2830,0.08409893992932863,0.060662217311506755,0.11046033434235998,0.3609660267829895,cinque,student A,1,i3,none,1.0257590532302852
Cut_ins,885,0.1344632768361582,0.06769996559119756,0.2337107985052736,0.34561482071876526,cinque,student A,1,i3,none,1.0257590532302852
FOD,3561,0.07273237854535243,0.04857758706146322,0.10035991204520944,0.32765576243400574,cinque,student A,1,i3,none,1.0257590532302852
Intersections,4772,0.06139983235540654,0.047136569530497524,0.07717140350019475,0.3088685870170593,cinque,student A,1,i3,none,1.0257590532302852
straight_yaw,11597,0.003966543071484005,0.002111031070699755,0.006190856702237651,0.042166538536548615,cinque,student A,1,i3,g2,1.0257590532302852
pre_onset,1458,0.0013717421124828531,0.0,0.003526155299391929,0.032698146998882294,cinque,student A,1,i3,g2,1.0257590532302852
all,19663,0.0030005594263337234,0.0018107489941079186,0.004376709320334653,0.04539612680673599,cinque,student A,1,i3,g2,1.0257590532302852
