scope,judge,n,delta,lo,hi,model,arm
Cyclists,RFS (rater),71,-0.33961843457307467,-0.6629087002501693,-0.032499413412100976,cinque,E2 uniform (a)
Cyclists,ADE dec1-9,2326,0.1439266404788392,0.09116047019334804,0.19643937013134774,cinque,E2 uniform (a)
Cyclists,ADE pre_onset dec1-9,206,0.19021367966080632,0.05557654508152611,0.3245186490535505,cinque,E2 uniform (a)
Cut_ins,RFS (rater),20,0.4130012459956366,-0.03375709614728214,0.9183441111861268,cinque,E2 uniform (a)
Cut_ins,ADE dec1-9,724,0.21755358695276936,0.11286979420183504,0.3196113599793315,cinque,E2 uniform (a)
Cut_ins,ADE pre_onset dec1-9,16,0.07335922253578092,-0.3161036897257544,0.35851261683582636,cinque,E2 uniform (a)
FOD,RFS (rater),78,-0.0734552738445939,-0.2397326107833394,0.08235747955828966,cinque,E2 uniform (a)
FOD,ADE dec1-9,3175,0.16661951552303178,0.11729760554864921,0.21576021153043107,cinque,E2 uniform (a)
FOD,ADE pre_onset dec1-9,252,0.1391435577960721,-0.01553782296290697,0.2895525288684595,cinque,E2 uniform (a)
Intersections,RFS (rater),116,-0.1780674447549036,-0.4080957486939846,0.04395677674685959,cinque,E2 uniform (a)
Intersections,ADE dec1-9,4299,0.14797690731892665,0.11531289917315733,0.18118372421307133,cinque,E2 uniform (a)
Intersections,ADE pre_onset dec1-9,301,0.05470992377876974,-0.04856782816160124,0.1652038322127989,cinque,E2 uniform (a)
all,RFS (rater),478,-2.2553322848151875,-2.4654854536215125,-2.043896794936343,cinque,E2 pair qwen (a)
all,ADE dec1-9,17389,1.5674197453762213,1.4671449045591993,1.6732468131049678,cinque,E2 pair qwen (a)
all,ADE pre_onset dec1-9,1245,1.3962264016417563,1.0924813148629098,1.7217164650570957,cinque,E2 pair qwen (a)
Pedestrians,RFS (rater),52,-2.102094991898461,-2.760767982669919,-1.4425618502695212,cinque,E2 pair qwen (a)
Pedestrians,ADE dec1-9,1637,1.2214787872960275,0.9898065725401309,1.5063922600867798,cinque,E2 pair qwen (a)
Pedestrians,ADE pre_onset dec1-9,83,1.4937681180718372,0.501704587952562,2.3717757871763343,cinque,E2 pair qwen (a)
Cyclists,RFS (rater),71,-2.041162524641951,-2.533644373892714,-1.5551860026532893,cinque,E2 pair qwen (a)
Cyclists,ADE dec1-9,2326,1.1217455212778118,0.9390569274347825,1.31748581239943,cinque,E2 pair qwen (a)
Cyclists,ADE pre_onset dec1-9,206,0.5725009290608899,0.10697381907004246,1.1552146951743987,cinque,E2 pair qwen (a)
Cut_ins,RFS (rater),20,-1.7540035374784844,-2.4421932857287327,-1.097214602817917,cinque,E2 pair qwen (a)
Cut_ins,ADE dec1-9,724,1.3105798074384736,0.7945291011697777,2.075475137196605,cinque,E2 pair qwen (a)
Cut_ins,ADE pre_onset dec1-9,16,0.6063796824386268,0.21710148592904982,1.6839658263887145,cinque,E2 pair qwen (a)
